Author	Harmonic	Closeness	Degree	Betweenness	In-degree	Out-degree
Albert Deblaere	139.64166666666668	0.06868457690919404	0.03501228501228501	0.000205192751154561	0.014127764127764127	0.020884520884520884
Günter Grass	112.65198412698449	0.06158834323391286	0.002457002457002457	0.0	0.002457002457002457	0.0
Nico van Suchtelen	137.23571428571407	0.07694223878102972	0.0036855036855036856	0.00016800339480118215	0.003071253071253071	0.0006142506142506142
P.C. Schoonees	128.09642857142828	0.07217027476921158	0.0012285012285012285	0.0	0.0012285012285012285	0.0
Eriek Verpale	89.11031746031777	0.04823698191246553	0.0018427518427518428	0.0	0.0018427518427518428	0.0
Hendrik Conscience	148.67976190476202	0.08071465022360842	0.0036855036855036856	0.0	0.0036855036855036856	0.0
Hans Heestermans	1.5	0.0008190008190008189	0.0006142506142506142	0.0	0.0006142506142506142	0.0
Albertine Steenhoff-Smulders	131.56190476190443	0.07444123493695097	0.0012285012285012285	0.0	0.0012285012285012285	0.0
Jozef Andriessen	108.05238095238097	0.05679686167491045	0.0042997542997543	0.0	0.0012285012285012285	0.003071253071253071
W. van den Ent	138.81309523809512	0.07674257279935513	0.0012285012285012285	0.0	0.0012285012285012285	0.0
Alie Smeding	129.22142857142822	0.07283651370477717	0.0012285012285012285	0.0	0.0012285012285012285	0.0
M.F. Steehouder	111.77222222222254	0.05977247070613164	0.0018427518427518428	0.0	0.0018427518427518428	0.0
Nine van der Schaaf	127.09642857142829	0.07188946683627535	0.0006142506142506142	0.0	0.0006142506142506142	0.0
Harry G.M. Prick	146.67976190476216	0.0768520982985604	0.015356265356265357	8.93062120185124e-05	0.009828009828009828	0.005528255528255528
H. van Loon	143.94404761904747	0.08055428999137608	0.002457002457002457	0.0	0.002457002457002457	0.0
Joep Nicolas	139.26071428571404	0.07950129273658686	0.0012285012285012285	0.0	0.0012285012285012285	0.0
Jan Schepens	141.2714285714285	0.07752516117716882	0.003071253071253071	0.0	0.003071253071253071	0.0
Paul Schampaert	0.0	0.0	0.0006142506142506142	0.0	0.0	0.0006142506142506142
A. van Loey	149.64642857142894	0.07934571290735674	0.006142506142506142	0.0	0.006142506142506142	0.0
J.B. Berns	105.60079365079393	0.05479143148062067	0.0042997542997543	0.0	0.0042997542997543	0.0
