	Author	Community
0	Henk Kuitenbrouwer	5
1	Henri Bruning	5
2	Albert Kuyle	5
3	Albe	1
4	Dirk Coster	5
5	Jan Engelman	5
6	Erich Wichman	5
7	Willem Pijper	5
8	Just Havelaar	5
9	Gerard Bruning	5
10	Joep Nicolas	5
11	Gerard Brom	5
12	Bernard Verhoeven	5
13	Johan de Meester	5
14	Karel van den Oever	5
15	Huib Luns	5
16	Wies Moens	1
17	Marnix Gijsen	1
18	Herman Teirlinck	1
19	Richard Minne	1
20	J.C. Bloem	3
21	Albert Helman	5
22	G.P.M. Knuvelder	1
23	Frederik van Eeden	5
24	Menno ter Braak	5
25	Willem Nieuwenhuis	5
26	Herman de Man	5
27	Henriette Roland Holst-van der Schalk	1
28	Charles Eyck	5
29	H. Marsman	5
30	A. den Doolaard	5
31	Anton van Duinkerken	5
32	A.A.M. Stols	9
33	M. Stol	9
34	Herman Gorter	5
35	A. Roland Holst	5
36	Ernest Michel	5
37	A.M. de Jong	5
38	Willem Maas	5
39	Hendrik de Vries	5
40	Novalis	5
41	Albert Verwey	5
42	Antoon Coolen	5
43	Stijn Streuvels	1
44	H.E.H. van Loon	5
45	H. van Loon	5
46	Sybold van Ravesteyn	5
47	Karel van de Woestijne	1
48	Prosper van Langendonck	5
49	Willem Kloos	5
50	Guido Gezelle	1
51	J.F.M. Sterck	5
52	Frans Erens	5
53	Wouter Lutkie	5
54	Gerard Wijdeveld	5
55	Stefan George	5
56	P.N. van Eyck	3
57	Nicolaas Beets	5
58	Abraham Kuyper	5
59	J.J. van Geuns	6
60	J. van Geuns	6
61	Halbo C. Kool	5
62	D.A.M. Binnendijk	5
63	Jan H. Eekhout	5
64	A.J.D. van Oosten	5
65	B.H. Molkenboer	5
66	H. Mol	3
67	G. Kalff	5
68	A. van Domburg	5
69	Ellen Russe	7
70	Giovanni Papini	7
71	Roel Houwink	5
72	J.H. Leopold	3
73	Chris de Graaff	5
74	Multatuli	5
75	Ad. Sassen	5
76	Geerten Gossaert	5
77	Ernest Claes	1
78	Jacob van Lennep	5
79	Felix Timmermans	1
80	E.J. Potgieter	2
81	Gerard Walschap	1
82	Louis de Bourbon	5
83	E. du Perron	5
84	Jan Greshoff	1
85	W.A.P. Smit	3
86	Paul Vlemminx	5
87	Henri Borel	1
88	Constant van Wessem	5
89	Theun de Vries	5
90	Alfred de Vigny	5
91	Arthur van Schendel	5
92	Pieter van der Meer de Walcheren	5
93	J.W.F. Werumeus Buning	5
94	Aart van der Leeuw	5
95	C.R. de Klerk	5
96	Lodewijk van Deyssel	5
97	Maria Viola	5
98	Alphons Diepenbrock	5
99	Jan Vercammen	1
100	Pierre Kemp	5
101	Jozef Cantré	5
102	Frans Coenen	5
103	A.G.W. Severijnen	1
104	C.G.N. de Vooys	5
105	P.J.H. Vermeeren	5
106	Pieter G. Buckinx	1
107	Jan Romein	9
108	Garmt Stuiveling	5
109	Ed. Hoornik	10
110	Willem Bilderdijk	5
111	André Demedts	1
112	Jan Prins	5
113	Willem de Mérode	5
114	P.C. Boutens	5
115	E. Moll	5
116	M. Rutten	3
117	H.W.E. Moller	5
118	J. Slauerhoff	5
119	P.J. Veth	2
120	W.R. van Hoëvell	2
121	A.V. Michiels	2
122	Willem Richard Boer	1
123	P.W. Korthals	2
124	Salomon Müller	2
125	Jan Heemskerk Bzn.	5
126	Adam Smith	5
127	S.J. van den Bergh	2
128	Alfred de Musset	5
129	S. Vissering	2
130	H.J. Schimmel	5
131	W.J. Hofdijk	5
132	Carel Adriaan Engelbregt	1
133	Willem Jan Knoop	1
134	J.J.L. ten Kate	2
135	Johan Carl Zimmerman	2
136	Pieter Nicolaas Muller	5
137	Johan Adam Wijnne	1
138	Samuel Adrianus Naber	2
139	Cd. Busken Huet	5
140	Robert Fruin	2
141	Martinus Nijhoff	3
142	H.P.G. Quack	5
143	Nikolaas Gerard Pierson	5
144	J.A. Alberdingk Thijm	5
145	Pieter Rutger Feith	11
146	R. Feith	11
147	Tiberius Cornelius Winkler	12
148	C. Winkler	12
149	Carel Vosmaer	5
150	J. van Vloten	5
151	Henricus Oort	13
152	H. Oort	13
153	H.C. Rogge	2
154	Jérome Alexandre Sillem	1
155	Charles Boissevain	5
156	George Eliot	1
157	D.E.W. Wolff	1
158	David Jacob van Lennep	5
159	Henri Ernest Moltzer	5
160	H. Kern	5
161	Abraham Seyne Kok	1
162	Cornelis Bellaar Spruyt	5
163	J.N. van Hall	5
164	Johan Hermann Christian Heyse	5
165	Allard Pierson	5
166	Willem de Clercq	5
167	Johan Hendrik Gallée	5
168	J. Verdam	5
169	Marie Henriëtte Koorders-Boeke	5
170	H. van Cappelle jr.	14
171	H. van Cappelle	14
172	J. van Loenen Martinet	5
173	Hendrik Hooyer	15
174	J.H. Hooijer	15
175	Anton Gerard van Hamel	5
176	Jan ten Brink	5
177	A.G. van Hamel	5
178	Max Rooses	1
179	Willem Hendrik de Beaufort	3
180	Pol de Mont	1
181	Joh. Dyserinck	1
182	Louis Couperus	5
183	Jan C. de Vos	5
184	Willem van der Vlugt	1
185	Henricus Anastasius Viotta	1
186	Marcellus Emants	5
187	A. Kluijver	5
188	A. Kluyver	5
