Target	Source	Weight	Author	DOB
Henri Bruning	Henk Kuitenbrouwer	12	Henri Bruning	10 juli 1900
Albert Kuyle	Henk Kuitenbrouwer	37	Albert Kuyle	17 februari 1904
Albe	Henk Kuitenbrouwer	25	Albe	8 juni 1902
Dirk Coster	Henk Kuitenbrouwer	11	Dirk Coster	7 juli 1887
Dirk Coster	Jan Engelman	13	Dirk Coster	7 juli 1887
Erich Wichman	Jan Engelman	6	Erich Wichman	11 augustus 1890
Willem Pijper	Jan Engelman	5	Willem Pijper	8 september 1894
Albe	Jan Engelman	27	Albe	8 juni 1902
Henri Bruning	Jan Engelman	6	Henri Bruning	10 juli 1900
Just Havelaar	Jan Engelman	5	Just Havelaar	12 februari 1880
Gerard Bruning	Henk Kuitenbrouwer	5	Gerard Bruning	18 februari 1898
Gerard Bruning	Jan Engelman	11	Gerard Bruning	18 februari 1898
Joep Nicolas	Jan Engelman	10	Joep Nicolas	6 oktober 1897
Gerard Brom	Henk Kuitenbrouwer	7	Gerard Brom	17 april 1882
Gerard Brom	Jan Engelman	5	Gerard Brom	17 april 1882
Albe	Bernard Verhoeven	5	Albe	8 juni 1902
Bernard Verhoeven	Henk Kuitenbrouwer	5	Bernard Verhoeven	29 april 1897
Johan de Meester	Jan Engelman	5	Johan de Meester	6 februari 1860
Karel van den Oever	Henk Kuitenbrouwer	7	Karel van den Oever	19 november 1879
Karel van den Oever	Albert Kuyle	7	Karel van den Oever	19 november 1879
Karel van den Oever	Jan Engelman	5	Karel van den Oever	19 november 1879
Huib Luns	Jan Engelman	5	Huib Luns	6 juni 1881
Wies Moens	Henk Kuitenbrouwer	5	Wies Moens	28 januari 1898
Albert Kuyle	Jan Engelman	23	Albert Kuyle	17 februari 1904
Albe	Albert Kuyle	48	Albe	8 juni 1902
Dirk Coster	Albert Kuyle	8	Dirk Coster	7 juli 1887
Erich Wichman	Albert Kuyle	5	Erich Wichman	11 augustus 1890
Marnix Gijsen	Jan Engelman	8	Marnix Gijsen	20 oktober 1899
Marnix Gijsen	Henk Kuitenbrouwer	5	Marnix Gijsen	20 oktober 1899
Marnix Gijsen	Herman Teirlinck	10	Marnix Gijsen	20 oktober 1899
Richard Minne	Herman Teirlinck	5	Richard Minne	30 november 1891
J.C. Bloem	Jan Engelman	7	J.C. Bloem	10 mei 1887
Bernard Verhoeven	Jan Engelman	5	Bernard Verhoeven	29 april 1897
Willem Pijper	Albert Helman	6	Willem Pijper	8 september 1894
Wies Moens	Jan Engelman	6	Wies Moens	28 januari 1898
Albe	G.P.M. Knuvelder	5	Albe	8 juni 1902
Jan Engelman	Henk Kuitenbrouwer	20	Jan Engelman	7 juni 1900
Henri Bruning	Albert Kuyle	8	Henri Bruning	10 juli 1900
Frederik van Eeden	Henk Kuitenbrouwer	5	Frederik van Eeden	3 april 1860
Menno ter Braak	Jan Engelman	5	Menno ter Braak	26 januari 1902
Jan Engelman	Menno ter Braak	9	Jan Engelman	7 juni 1900
Jan Engelman	Albert Kuyle	22	Jan Engelman	7 juni 1900
Albe	Albert Helman	61	Albe	8 juni 1902
Willem Nieuwenhuis	Jan Engelman	7	Willem Nieuwenhuis	1886
Albert Helman	Jan Engelman	15	Albert Helman	7 november 1903
Herman de Man	Albert Kuyle	6	Herman de Man	11 juli 1898
Albe	Henriette Roland Holst-van der Schalk	5	Albe	8 juni 1902
Willem Nieuwenhuis	Albert Kuyle	9	Willem Nieuwenhuis	1886
Albert Helman	Albert Kuyle	12	Albert Helman	7 november 1903
Charles Eyck	Jan Engelman	5	Charles Eyck	24 maart 1897
H. Marsman	Jan Engelman	11	H. Marsman	30 september 1899
A. den Doolaard	Jan Engelman	5	A. den Doolaard	7 februari 1901
A.A.M. Stols	Anton van Duinkerken	9	A.A.M. Stols	28 januari 1900
M. Stol	Anton van Duinkerken	9	M. Stol	1940
Albert Kuyle	Albert Helman	10	Albert Kuyle	17 februari 1904
Anton van Duinkerken	Albert Helman	7	Anton van Duinkerken	2 januari 1903
Anton van Duinkerken	Jan Engelman	14	Anton van Duinkerken	2 januari 1903
Herman Gorter	Jan Engelman	5	Herman Gorter	26 november 1864
Anton van Duinkerken	Albert Kuyle	21	Anton van Duinkerken	2 januari 1903
Anton van Duinkerken	Henk Kuitenbrouwer	26	Anton van Duinkerken	2 januari 1903
Jan Engelman	Albert Helman	14	Jan Engelman	7 juni 1900
A. Roland Holst	Jan Engelman	5	A. Roland Holst	23 mei 1888
Ernest Michel	Anton van Duinkerken	16	Ernest Michel	25 november 1899
Marnix Gijsen	Anton van Duinkerken	16	Marnix Gijsen	20 oktober 1899
A.M. de Jong	Anton van Duinkerken	7	A.M. de Jong	23 december 1893
Ernest Michel	Henk Kuitenbrouwer	6	Ernest Michel	25 november 1899
Jan Engelman	Willem Maas	8	Jan Engelman	7 juni 1900
Gerard Bruning	Anton van Duinkerken	14	Gerard Bruning	18 februari 1898
Hendrik de Vries	Anton van Duinkerken	9	Hendrik de Vries	17 augustus 1896
Novalis	Anton van Duinkerken	10	Novalis	2 mei 1772
Albert Verwey	Anton van Duinkerken	39	Albert Verwey	15 mei 1865
Dirk Coster	Anton van Duinkerken	28	Dirk Coster	7 juli 1887
Antoon Coolen	Anton van Duinkerken	16	Antoon Coolen	17 april 1897
Herman de Man	Anton van Duinkerken	10	Herman de Man	11 juli 1898
Albert Kuyle	Anton van Duinkerken	31	Albert Kuyle	17 februari 1904
Albe	Anton van Duinkerken	101	Albe	8 juni 1902
Stijn Streuvels	Anton van Duinkerken	14	Stijn Streuvels	3 oktober 1871
Albert Helman	Anton van Duinkerken	15	Albert Helman	7 november 1903
Willem Nieuwenhuis	Anton van Duinkerken	7	Willem Nieuwenhuis	1886
Charles Eyck	Anton van Duinkerken	14	Charles Eyck	24 maart 1897
Gerard Brom	Anton van Duinkerken	22	Gerard Brom	17 april 1882
H. van Loon	H.E.H. van Loon	26	H. van Loon	17de eeuw
Sybold van Ravesteyn	Jan Engelman	5	Sybold van Ravesteyn	18 februari 1889
