Source	Target	Weight	Target_DOB	Source_DOB
't Haakstertje	A. Ampe	1	17 april 1912	19de eeuw
't Haakstertje	A. Darquennes	1	14 september 1909	19de eeuw
't Haakstertje	Andreas Nicolaas Metz	1	19de eeuw	19de eeuw
't Haakstertje	Antoon Fimmers	1	19de eeuw	19de eeuw
't Haakstertje	Arthur Janssen	1	1886	19de eeuw
't Haakstertje	Clemens Maria Beukers	1	1909	19de eeuw
't Haakstertje	Emiel Jan Janssen	1	23 april 1897	19de eeuw
't Haakstertje	Emmy van Lokhorst	1	26 augustus 1891	19de eeuw
't Haakstertje	F. De Raedemaeker	1	1894	19de eeuw
't Haakstertje	J. Salsmans	1	2 september 1873	19de eeuw
't Haakstertje	J. Smets	1	20ste eeuw	19de eeuw
't Haakstertje	J. Talloen	1	20ste eeuw	19de eeuw
't Haakstertje	J. Verwimp	1	20ste eeuw	19de eeuw
't Haakstertje	Jan de Roeck	1	19de eeuw	19de eeuw
't Haakstertje	Jos. Burvenich	1	18 augustus 1914	19de eeuw
't Haakstertje	K. du Bois de Vroylande	1	19de eeuw	19de eeuw
't Haakstertje	Leo Symoens	1	19de eeuw	19de eeuw
't Haakstertje	Marcel Brauns	1	2 oktober 1913	19de eeuw
't Haakstertje	Michiel Dierickx	1	25 juni 1909	19de eeuw
't Haakstertje	R. van Ooteghem	1	19de eeuw	19de eeuw
't Haakstertje	René Carpentier	1	20ste eeuw	19de eeuw
't Haakstertje	Stanislas van de Velde	1	19de eeuw	19de eeuw
't Haakstertje	Victor Heylen	1	11 oktober 1906	19de eeuw
A. Agnes Sneller	Agnes Verbiest	3	1934	19 januari 1940
A. Agnes Sneller	Arie Schippers	1	1947	19 januari 1940
A. Agnes Sneller	B.J. Hoff	1	1926	19 januari 1940
A. Agnes Sneller	Dorothé te Riele	1	20ste eeuw	19 januari 1940
A. Agnes Sneller	Eric Vos	1	20ste eeuw	19 januari 1940
A. Agnes Sneller	Frank Jansen	1	1952	19 januari 1940
A. Agnes Sneller	Margreet den Buurman	1	31 mei 1953	19 januari 1940
A. Agnes Sneller	Marnel Breure	1	1960	19 januari 1940
A. Agnes Sneller	R.H. Bremmer Jr.	1	13 augustus 1950	19 januari 1940
A. Alberts	Anton Koolhaas	1	16 november 1912	23 augustus 1911
A. Ampe	't Haakstertje	1	19de eeuw	17 april 1912
A. Ampe	A. Darquennes	7	14 september 1909	17 april 1912
A. Ampe	A. Poncelet	1	20ste eeuw	17 april 1912
A. Ampe	A. Smits	1	1914	17 april 1912
A. Ampe	A. Snoeck	1	20ste eeuw	17 april 1912
A. Ampe	Ad. Jansen	1	19de eeuw	17 april 1912
A. Ampe	Aimé de Cort	1	12 februari 1883	17 april 1912
A. Ampe	Alb. Block	1	19de eeuw	17 april 1912
A. Ampe	Alb. Raignier	1	20ste eeuw	17 april 1912
A. Ampe	Albert Deblaere	7	1916	17 april 1912
A. Ampe	Albert Kluyskens	1	6 september 1885	17 april 1912
A. Ampe	Alex. De Bil	1	20ste eeuw	17 april 1912
A. Ampe	Alfred Scheers	1	20ste eeuw	17 april 1912
