Author	Harmonic	Closeness	Degree	Betweenness	In-degree	Out-degree	Eigenvector
Elisabeth Augustin	1971.1285714284923	0.2461529742161829	0.004414125200642054	4.326378182549806e-05	0.0018726591760299624	0.002541466024612092	0.004047688554971284
Frank Ligtvoet	1799.1690476190172	0.2223431555372174	0.006688068485821294	4.116128729575111e-05	0.003477795612627073	0.003210272873194221	0.0032564127206469065
Mario Gommeren	1396.7111111111512	0.17638355661538094	0.0006688068485821295	3.1531997502348285e-08	0.00013376136971642589	0.0005350454788657035	0.00012310546085618672
Willem Bijsterbosch	1590.1190476190318	0.20246757994014838	0.00040128410914927763	0.0	0.00040128410914927763	0.0	0.00027543938555682767
Pierre-Henri Simon	1338.6734126984645	0.17259950686828646	0.00026752273943285177	0.0001127558659065813	0.00013376136971642589	0.00013376136971642589	2.3779463338348277e-05
F. Collin	0.0	0.0	0.00013376136971642589	0.0	0.0	0.00013376136971642589	3.552025893195421e-97
G.A.J. Hazeu	1788.8595238094722	0.2261915786698273	0.002541466024612092	5.19056956243789e-06	0.0017388978063135364	0.0008025682182985553	0.001222223926548147
R. de Josselin de Jong	2123.4880952380026	0.2663250963214556	0.0038790797217763506	4.927031284125765e-05	0.003344034242910647	0.0005350454788657035	0.010625999373990334
B.H. Kazemier	1580.1686507936427	0.2016655597701718	0.00026752273943285177	0.0	0.00013376136971642589	0.00013376136971642589	0.00020462696426164445
Clarissa Jacobi	1820.1333333332627	0.23310801754973404	0.0005350454788657035	0.0	0.0005350454788657035	0.0	0.0010670115343658871
Emiel Jan Janssen	2158.297619047541	0.25913014145571833	0.10714285714285714	0.006416141014874118	0.03384162653825575	0.07330123060460139	0.06001302883965779
Frank Valkenier	2413.7833333333097	0.3004560480852964	0.007356875334403424	8.022455156566302e-06	0.006688068485821294	0.0006688068485821295	0.01811212102310895
Aleida Gerarda Schot	1400.273412698454	0.18083231193805394	0.00013376136971642589	0.0	0.00013376136971642589	0.0	2.4316976922884313e-05
Freek de Jonge	1662.4119047618988	0.2067800877105604	0.0018726591760299624	0.0	0.0018726591760299624	0.0	0.0007017776375457379
B. van Geuns	1656.5234126983948	0.20970444415734243	0.0008025682182985553	1.175284000416681e-06	0.0005350454788657035	0.00026752273943285177	0.0003563011688297313
S. Groenveld	1830.3095238094947	0.22522217145718132	0.0038790797217763506	2.5777387386288894e-05	0.003611556982343499	0.00026752273943285177	0.0037559560067539424
Will Derks	1252.2107142857528	0.16124687078734642	0.001203852327447833	1.874066160190136e-08	0.00040128410914927763	0.0008025682182985553	6.78466582521204e-06
R.C. Bakhuizen van den Brink	2342.4357142856875	0.28658106901261	0.015248796147672551	0.00047039750685422233	0.013242375601926162	0.0020064205457463883	0.020107756400370002
Is.P. de Vooys	1722.180952380904	0.21923477217159412	0.02501337613697164	0.0001624892599509112	0.00026752273943285177	0.02474585339753879	0.0007552422419989294
Ido Keekstra	1647.9499999999723	0.20977346561467403	0.00040128410914927763	0.0	0.00040128410914927763	0.0	0.0003826340900913657
Lloyd Haft	1664.084523809499	0.20980241607858818	0.001337613697164259	2.4945150933857697e-06	0.0009363295880149812	0.00040128410914927763	0.0004934790677245826
Olga Krijtová	1496.8361111111196	0.18815410552945677	0.00454788657035848	7.296497007916142e-06	0.001070090957731407	0.003477795612627073	0.00031897908439787454
Elizabeth da Costa Gomez	1.0	0.00013376136971642589	0.00026752273943285177	0.0	0.00013376136971642589	0.00013376136971642589	7.998451244502626e-82
Michael Ignatieff	1476.3325396825599	0.1872412207781957	0.003210272873194221	5.7490569602236654e-05	0.0017388978063135364	0.0014713750668806848	9.576240208519838e-05
Martin Veltman	1661.6404761904425	0.21090156875882465	0.0008025682182985553	0.0	0.0008025682182985553	0.0	0.0004067694252675181
