	0
Henk Kuitenbrouwer	9
Henri Bruning	9
Albert Kuyle	9
Albe	9
Dirk Coster	9
Jan Engelman	9
Erich Wichman	9
Willem Pijper	9
Just Havelaar	1
Gerard Bruning	9
Joep Nicolas	9
Gerard Brom	9
Bernard Verhoeven	9
Leopold	2
Johan de Meester	9
Léon	2
Karel van den Oever	9
Huib Luns	9
Wies Moens	9
Marnix Gijsen	3
Herman Teirlinck	3
Richard Minne	3
J.C. Bloem	9
Albert Helman	9
G.P.M. Knuvelder	9
Frederik van Eeden	4
Menno ter Braak	9
Willem Nieuwenhuis	9
Herman de Man	9
Henriette Roland Holst-van der Schalk	9
Charles Eyck	9
H. Marsman	9
A. den Doolaard	9
Anton van Duinkerken	9
A.A.M. Stols	5
M. Stol	5
Herman Gorter	9
A. Roland Holst	9
Ernest Michel	9
A.M. de Jong	9
Willem Maas	9
Hendrik de Vries	9
Novalis	9
Albert Verwey	6
Antoon Coolen	9
Stijn Streuvels	3
Sybold van Ravesteyn	9
Karel van de Woestijne	3
Prosper van Langendonck	9
Constantijn	6
Willem Kloos	9
Guido Gezelle	3
J.F.M. Sterck	1
Frans Erens	9
Wouter Lutkie	9
Gerard Wijdeveld	9
Stefan George	6
P.N. van Eyck	6
Nicolaas Beets	9
Abraham Kuyper	9
J.J. van Geuns	7
J. van Geuns	7
Halbo C. Kool	1
D.A.M. Binnendijk	9
Jan H. Eekhout	9
A.J.D. van Oosten	9
B.H. Molkenboer	1
H. Mol	6
G. Kalff	1
A. van Domburg	9
Ellen Russe	8
Giovanni Papini	8
Roel Houwink	9
J.H. Leopold	4
Chris de Graaff	9
Multatuli	6
Ad. Sassen	9
Geerten Gossaert	1
Ernest Claes	3
Jacob van Lennep	9
Felix Timmermans	3
E.J. Potgieter	9
Gerard Walschap	3
Louis de Bourbon	1
E. du Perron	9
Jan Greshoff	3
W.A.P. Smit	6
Paul Vlemminx	9
Henri Borel	3
Constant van Wessem	1
Theun de Vries	9
Alfred de Vigny	9
Arthur van Schendel	9
Pieter van der Meer de Walcheren	9
J.W.F. Werumeus Buning	1
Aart van der Leeuw	1
C.R. de Klerk	9
Lodewijk van Deyssel	4
Maria Viola	1
Alphons Diepenbrock	9
Jan Vercammen	9
Pierre Kemp	10
Jozef Cantré	9
Frans Coenen	1
A.G.W. Severijnen	9
C.G.N. de Vooys	1
P.J.H. Vermeeren	6
Pieter G. Buckinx	3
Jan Romein	5
Garmt Stuiveling	6
Ed. Hoornik	11
Willem Bilderdijk	9
Martin Leopold	2
André Demedts	3
Jan Prins	1
Willem de Mérode	1
P.C. Boutens	1
E. Moll	1
M. Rutten	6
H.W.E. Moller	1
J. Slauerhoff	9
P.J. Veth	9
W.R. van Hoëvell	9
A.V. Michiels	9
Willem Richard Boer	9
P.W. Korthals	9
Salomon Müller	9
Jan Heemskerk Bzn.	9
Adam Smith	9
S.J. van den Bergh	9
Alfred de Musset	9
S. Vissering	9
H.J. Schimmel	9
W.J. Hofdijk	9
Carel Adriaan Engelbregt	9
Willem Jan Knoop	9
J.J.L. ten Kate	9
Johan Carl Zimmerman	9
Pieter Nicolaas Muller	9
Johan Adam Wijnne	9
Samuel Adrianus Naber	9
Cd. Busken Huet	9
Robert Fruin	9
Martinus Nijhoff	9
W.N. du Rieu	6
H.P.G. Quack	9
Nikolaas Gerard Pierson	9
J.A. Alberdingk Thijm	9
Pieter Rutger Feith	13
R. Feith	13
Tiberius Cornelius Winkler	14
C. Winkler	14
Carel Vosmaer	9
J. van Vloten	9
Henricus Oort	15
H. Oort	15
H.C. Rogge	9
Jérome Alexandre Sillem	9
Charles Boissevain	9
George Eliot	3
D.E.W. Wolff	9
