	Unnamed: 0	Author	Community	DOB	DOD	POB	POD	Harmonic	Closeness	Degree	Betweenness	In-degree	Out-degree	Eigenvector
0	0	Albert Helman	0	7 november 1903	10 juli 1996	Paramaribo	Amsterdam	2530.069047619033	0.3073160312660419	0.039593365436062	0.0028559799621928	0.027019796682718	0.012573568753344	0.0500242370001079
1	1	Hendrik Andriessen	0	17 september 1892	12 april 1981	Haarlem	Haarlem	2112.869047618961	0.2601399698020095	0.0088282504012841	0.000421750236959	0.0069555912252541	0.0018726591760299	0.0113594972027579
2	2	Henk Kuitenbrouwer	0	20 november 1903	3 augustus 1974	Utrecht	Utrecht	2116.452380952305	0.2613234876247346	0.0304975922953451	0.0010637091121442	0.0058855002675227	0.0246120920278223	0.0157690189539414
3	3	Henri Bruning	0	10 juli 1900	17 januari 1983	Amsterdam	Nijmegen	2421.0952380951985	0.297747876356909	0.0131086142322097	0.0	0.0131086142322097	0.0	0.0321926955336866
4	4	Jan Bruna	0	17 augustus 1876	11 maart 1931			1975.728571428483	0.2478698322329448	0.0081594435527019	0.0001225448557825	0.0018726591760299	0.006286784376672	0.0072798324473826
5	5	Joep Nicolas	38	6 oktober 1897	25 juli 1972		Steyl	2132.319047618965	0.2613096639108315	0.0094970572498662	0.000655878050395	0.0080256821829855	0.0014713750668806	0.0248072806339351
6	6	Albert Kuyle	0	17 februari 1904	4 maart 1958	Utrecht	Utrecht	2364.728571428522	0.2868140211676455	0.0385232744783306	0.0013770172802482	0.0196629213483146	0.018860353130016	0.0406303624880457
7	7	Albe	2	8 juni 1902	10 oktober 1973	Mechelen	Brussel	4004.716666666702	0.4529431401586611	0.3006955591225254	0.0604447232425864	0.2974852862493312	0.0032102728731942	0.2844437133242049
8	8	Jan Engelman	0	7 juni 1900	20 maart 1972	Utrecht	Amsterdam	2613.111904761905	0.3171009042605185	0.0648742643124665	0.0095419263893724	0.0313001605136436	0.0335741037988229	0.0676391203629266
9	9	Carel Scharten	0	14 maart 1878	30 oktober 1950	Middelburg	Florence	2464.9357142857007	0.3038192931035339	0.0383895131086142	0.0034230875908664	0.0143124665596575	0.0240770465489566	0.0412104518413232
10	10	Willem Maas	0	28 april 1897	6 mei 1950	Utrecht	Utrecht	1921.3285714284968	0.241177516188378	0.0046816479400749	4.913712659773495e-06	0.0018726591760299	0.0028089887640449	0.0049491979896385
11	11	Frans Coenen	0	24 april 1866	23 juni 1936	Amsterdam	Amsterdam	2505.3523809523786	0.3035019591158981	0.054039593365436	0.0045255658242878	0.0239432851792402	0.0300963081861958	0.0425770884614498
12	12	Herman Robbers	0	4 september 1868	15 september 1937	Rotterdam	Amsterdam	2423.852380952366	0.2988745091100168	0.0177902621722846	0.0010096985732424	0.0132423756019261	0.0045478865703584	0.0273222485691304
13	13	Roel Houwink	0	17 januari 1899	3 juni 1987	Breda	Zeist	2500.2785714285574	0.3059077214868936	0.0247458533975387	0.0008478758927643	0.0180577849117174	0.0066880684858212	0.0468605329226035
14	14	Dirk Coster	0	7 juli 1887	8 oktober 1956	Delft	Delft	2708.9190476190547	0.3266630000377171	0.0585874799357945	0.0030509211420517	0.0438737292669876	0.0147137506688068	0.0962138410049817
15	15	F. Bordewijk	0	10 oktober 1884	28 april 1965	Amsterdam	Den Haag	2490.7452380952163	0.3040436933938794	0.0338416265382557	0.0019936884320392	0.0208667736757624	0.0129748528624933	0.0410874173533094
16	16	Albert Plasschaert	38	1874	1941	Sas van Gent		2140.669047618977	0.262771803032133	0.006286784376672	6.892415251962441e-06	0.0061530230069555	0.0001337613697164	0.0222433567526655
17	17	Erich Wichman	0	11 augustus 1890	1 januari 1929	Utrecht	Amsterdam	2289.919047619003	0.283635615903213	0.0084269662921348	7.063181889861115e-05	0.0070893525949705	0.0013376136971642	0.0215817868699386
18	18	L.J.M. Feber	38	24 april 1885	3 juli 1964	Bergen op Zoom	Den Haag	2194.128571428492	0.2724353566385593	0.0070893525949705	0.0001393526411706	0.0054842161583734	0.0016051364365971	0.0208092140236279
19	19	Willem Pijper	10	8 september 1894	maart 1947	Zeist	Leidschendam	2336.535714285674	0.2862987067677268	0.0119047619047619	0.0001741442007596	0.010700909577314	0.0012038523274478	0.0209931155465644
20	20	Frederik van Eeden	0	3 april 1860	16 juni 1932	Haarlem	Bussum	2736.4357142857293	0.3266846033046993	0.0547084002140181	0.0021935160590032	0.0533707865168539	0.0013376136971642	0.0821313887797881
21	21	M. Bruna	0	30 januari 1903		Utrecht		1854.047619047548	0.2349487698725497	0.0021401819154628	3.7647974595549337e-07	0.0006688068485821	0.0014713750668806	0.0026862152381972
22	22	Karel van den Oever	38	19 november 1879	6 oktober 1926	Antwerpen	Antwerpen	2427.985714285687	0.2985132878033816	0.0181915462814339	0.0001370717026391	0.0168539325842696	0.0013376136971642	0.0493578400781754
23	23	Just Havelaar	0	12 februari 1880	3 februari 1930	Rotterdam	Amersfoort	2382.285714285684	0.2930761131160106	0.0139111824505082	8.470559435253981e-05	0.012573568753344	0.0013376136971642	0.0311831151186231
24	24	Gerard Bruning	0	18 februari 1898	8 oktober 1926	Amsterdam	Nijmegen	2440.869047619024	0.2972022072420647	0.0157838416265382	0.000187632892561	0.0149812734082396	0.0008025682182985	0.0442255495067982
25	25	Gerard Brom	0	17 april 1882	30 november 1959	Utrecht	Wijchen	2546.0023809523536	0.3095887369372248	0.0518994114499732	0.0069940013718077	0.0254146602461209	0.0264847512038523	0.0494232318462057
26	26	Frans Erens	0	23 juli 1857	5 december 1935	Schaesberg	Houthem-Sint Gerlach	2473.135714285684	0.2997450173889781	0.0300963081861958	0.0006247502065601	0.0244783306581059	0.0056179775280898	0.05374402239817
27	27	H. Marsman	0	30 september 1899	21 juni 1940	Zeist	Het Kanaal	2605.078571428572	0.3155412255873752	0.0545746388443017	0.0040936001308124	0.0308988764044943	0.0236757624398073	0.0633947797461971
28	28	Herman Menagé Challa	0	19de eeuw				1545.5305555555613	0.1978610064315612	0.0004012841091492	2.320857336731505e-07	0.0002675227394328	0.0001337613697164	0.0003257518579686
29	29	C.J. Kelk	0	28 augustus 1901	25 december 1981	Amsterdam	Doorwerth	2470.935714285689	0.3016670465081135	0.0335741037988229	0.0014612620558066	0.0211342964151952	0.0124398073836276	0.0362334294705692
30	30	H.W.J.M. Keuls	0	19 mei 1883	29 oktober 1968	Obdam	Ede	2212.6857142856693	0.2710600245045192	0.0069555912252541	0.0001759745802546	0.0065543071161048	0.0004012841091492	0.0146343998486672
31	31	P.C. Boutens	0	20 februari 1870	14 maart 1943	Middelburg	Den Haag	2599.085714285707	0.3161875367452063	0.0355805243445692	0.0027365589723892	0.0286249331193151	0.0069555912252541	0.0623345049198046
32	32	Bernard Verhoeven	38	29 april 1897	4 juni 1965	Arnhem	Arnhem	2298.502380952319	0.2830343142480008	0.017924023542001	0.0002305749573158	0.0131086142322097	0.0048154093097913	0.0332313675238732
33	33	Multatuli	0	2 maart 1820	19 februari 1887	Amsterdam	Nieder-Ingelheim	3233.2023809524158	0.375051088495206	0.133493846976993	0.0135214330415221	0.1321562332798287	0.0013376136971642	0.1656083519877878
34	34	Albert Verwey	0	15 mei 1865	8 maart 1937	Amsterdam	Noordwijk	2832.685714285722	0.336063534020706	0.0708935259497057	0.0036189749538808	0.0658105939004815	0.0050829320492241	0.1099277993170329
35	35	Marcellus Emants	0	12 augustus 1848	14 oktober 1923	Voorburg	Baden	2523.902380952364	0.3070295162266367	0.0275548421615837	0.0003541515581335	0.0259497057249866	0.0016051364365971	0.0481688799165048
36	36	Hélène Swarth	0	25 oktober 1859	20 juni 1941	Amsterdam	Velp	2552.352380952389	0.3128830685691892	0.0222043873729266	3.099299892781439e-05	0.0218031032637774	0.0004012841091492	0.0448449314366135
37	37	Herman Gorter	0	26 november 1864	15 september 1927	Wormerveer	St-Joost-Ten-Noode, Brussel	2742.185714285733	0.3279642734411339	0.0516318887105403	0.001945360281356	0.0510968432316746	0.0005350454788657	0.0925117232273952
38	38	Wouter Hutschenruyter	0	1859	1943			1915.628571428487	0.2413660650136987	0.0030765115034777	2.5753106549566546e-05	0.0016051364365971	0.0014713750668806	0.0041900343721916
39	39	J.A. Lambert-van der Kolf	0	19de eeuw	20ste eeuw			1944.604761904676	0.2446898101134514	0.0017388978063135	4.110878500049842e-07	0.0009363295880149	0.0008025682182985	0.0048674961590481
40	40	Marie Koenen	38	19 januari 1879	10 juli 1959	's-Hertogenbosch	Maastricht	2308.5023809523245	0.2818554083402008	0.0176565008025682	0.0001195005010262	0.0175227394328517	0.0001337613697164	0.0417334060877369
41	41	Marie Gijsen	0	21 april 1856	20 november 1936	Gouda	Berlicum	2069.069047618964	0.2582535672634714	0.0022739432851792	0.0	0.0022739432851792	0.0	0.0084551280577909
42	42	Ed. Hoornik	10	9 maart 1910	1 maart 1970	Den Haag	Amsterdam	2466.778571428544	0.2985132878033816	0.0308988764044943	0.0013364754677731	0.0236757624398073	0.0072231139646869	0.0490754610661663
43	43	Rie Cramer	0	10 oktober 1887	18 juli 1977	Sukabumi	Laren	2042.6428571427632	0.255542418990498	0.002541466024612	0.0	0.002541466024612	0.0	0.0076150335243752
44	44	Johan de Meester	0	6 februari 1860	16 mei 1931	Harderwijk	Utrecht	2553.3095238095098	0.3087952670232142	0.0508293204922418	0.0049132697459806	0.0258159443552701	0.0250133761369716	0.0601971131284786
45	45	Pieter van der Meer de Walcheren	38	10 september 1880	16 december 1970	Utrecht	Breda	2283.226190476133	0.2776860778881294	0.0127073301230604	0.0	0.0127073301230604	0.0	0.0296168617235597
46	46	Pol de Mont	38	15 april 1857	29 juni 1931	Wambeek	Berlijn	2632.269047619047	0.3171823479241273	0.0437399678972712	0.0022964777772503	0.0385232744783306	0.0052166934189406	0.0798735483181661
47	47	Karel van de Woestijne	38	10 maart 1878	24 augustus 1929	Gent	Zwijnaarde	2711.552380952389	0.3264686991322687	0.0470840021401819	0.001274655778753	0.0452113429641519	0.0018726591760299	0.0974115735706587
48	48	Cyriel Verschaeve	38	30 april 1874	8 november 1949	Ardooie	Solbad Hall	2327.352380952332	0.2834403194038535	0.0223381487426431	1.6194881157199616e-05	0.0220706260032102	0.0002675227394328	0.052734356826059
49	49	Max Brod	10	1884	1968	Tsjechië		2151.28095238089	0.2654165577110113	0.0077581594435527	0.0	0.0077581594435527	0.0	0.0107753316597375
50	50	H. Mol	4	1917	1980			2389.602380952338	0.2936685028577586	0.013509898341359	0.0003131761210071	0.0132423756019261	0.0002675227394328	0.033701161770313
51	51	Willem Kloos	0	6 mei 1859	31 maart 1938	Amsterdam	Den Haag	2741.969047619068	0.3294736134576374	0.0563135366506152	0.005774675563536	0.0484216158373461	0.0078919208132691	0.0971818710003581
52	52	Daan van der Zee	0	1880	1969	Schiedam		1997.87142857133	0.2499076395093947	0.0032102728731942	0.0	0.0032102728731942	0.0	0.0045847968372662
53	53	Ina Boudier-Bakker	0	15 april 1875	26 december 1966	Amsterdam	Utrecht	2430.1690476190097	0.2974527540537338	0.0172552166934189	4.550138956542157e-05	0.0171214553237025	0.0001337613697164	0.0383408337388892
54	54	Edward Vermeulen	38	19 april 1861	6 juli 1934	Beselare	Hooglede	2003.0285714285055	0.2484001284883759	0.0066880684858212	0.0	0.0066880684858212	0.0	0.0193012146165315
55	55	Maria Viola	0	1 december 1871	19 augustus 1951	Rotterdam	Ouderkerk a/d Amstel	2145.776190476127	0.2650959475459031	0.006286784376672	1.6363248289390489e-06	0.0061530230069555	0.0001337613697164	0.0129394146195451
56	56	Sybold van Ravesteyn	0	18 februari 1889	23 november 1983		Laren	1941.961904761824	0.2432080097764934	0.0124398073836276	0.0001038906567382	0.002541466024612	0.0098983413590155	0.0053543581029451
57	57	Nico Rost	10	21 juni 1896	1 februari 1967	Groningen	Amsterdam	2381.271428571388	0.2907987217619567	0.026083467094703	0.001789693753378	0.0164526484751203	0.0096308186195826	0.030128938303028
58	58	Huib Luns	0	6 juni 1881	24 februari 1942	Parijs		2095.435714285638	0.2598151194079216	0.0033440342429106	0.0	0.0033440342429106	0.0	0.0117517077251982
59	59	Arthur van Schendel	0	5 maart 1874	11 september 1946	Batavia	Amsterdam	2627.4857142857	0.3181834387484932	0.0410647405029427	0.0012366285911574	0.0359818084537185	0.0050829320492241	0.0788789895049619
60	60	Wies Moens	38	28 januari 1898	5 februari 1982	Sint-Gillis-Bij-Dendermonde	Geleen	2513.9023809523605	0.3049069678414803	0.0311663991439272	0.0	0.0311663991439272	0.0	0.0715263266112542
61	61	A. Roland Holst	10	23 mei 1888	6 augustus 1976	Amsterdam	Bergen	2810.8357142857267	0.3348334499132623	0.0739700374531835	0.007869923842605	0.0608614232209737	0.0131086142322097	0.111440150698638
62	62	Geerten Gossaert	0	9 februari 1884	27 oktober 1958	Kralingen	Utrecht	2481.352380952352	0.3039688564747005	0.0214018191546281	0.0005032378606113	0.0184590690208667	0.0029427501337613	0.0378623973431741
63	63	Charley Toorop	0	24 maart 1891	5 november 1955	Katwijk	Bergen	2315.4952380952054	0.2872476528795928	0.0153825575173889	0.0025708149752796	0.0070893525949705	0.0082932049224184	0.0270771477965925
64	64	Piet Visser	0	1898				1903.8642857141967	0.2432798762162205	0.0013376136971642	6.078872972582628e-07	0.0009363295880149	0.0004012841091492	0.0023359271732154
65	65	J. Eigenhuis	0	1866	16 oktober 1944	Aalsmeer	Epe	2097.635714285643	0.2606340888814625	0.0065543071161048	3.315300644809497e-05	0.0040128410914927	0.002541466024612	0.0110738054565995
66	66	Herman Teirlinck	38	24 februari 1879	4 februari 1967	Sint-Jans-Molenbeek	Beersel-Lot	2622.202380952379	0.3147570973983916	0.0601926163723916	0.0044384992748501	0.0394596040663456	0.020733012306046	0.0836323484650147
67	67	Jan Campert	0	15 augustus 1902	12 januari 1943	Spijkenisse	Neuengamme	2329.861904761869	0.2833102710811171	0.0227394328517924	0.0009525483960384	0.0137774210807918	0.0089620117710005	0.0262955118388489
68	68	Henriette Roland Holst-van der Schalk	0	24 december 1869	21 november 1952	Noordwijk	Amsterdam	2338.7619047618605	0.2896732473213134	0.0151150347779561	0.0001844078516507	0.0070893525949705	0.0080256821829855	0.0322201133617034
69	69	Marnix Gijsen	38	20 oktober 1899	29 september 1984	Antwerpen	Leuven	2749.335714285728	0.327790171637051	0.0868111289459604	0.0092793130476239	0.0564472980203317	0.0303638309256286	0.1139862232832777
70	70	Richard Minne	38	30 november 1891	1 juni 1965	Gent	Sint-Martens-Latem	2410.045238095203	0.293790762850622	0.0185928303905832	2.347612945483438e-06	0.0184590690208667	0.0001337613697164	0.0448260885743073
