	0
G.P.M. Knuvelder	0.0
Rainer Maria Rilke	103.84722222222253
A. den Doolaard	145.47738095238094
Leo van Breen	126.34642857142829
Hans Verhagen	95.80317460317507
Edmond Campers	0.0
Gerben Colmjon	127.34642857142829
J.J. Kloek	114.04603174603206
S.W.F. Margadant	97.44325396825421
G. Van Cutsem	0.0
A.W. Sanders van Loo	0.0
E.W. Beth	121.84682539682547
Constantijn	195.3428571428577
Willem M. Roggeman	87.15396825396859
Emiel Willekens	0.0
Bob den Uyl	87.15396825396859
G.F. Haspels	126.34642857142829
Maurits Sabbe	146.9261904761906
Tirso de Molina	0.0
N.P. van den Berg	1.0
David Kettler	76.76273448773433
D.C. Tinbergen	135.87857142857118
J. van Geuns	1.0
Lode Roose	118.49523809523807
Gaston Burssens	134.26309523809496
J.C.H. de Pater	129.03015873015877
C.G.N. de Vooys	184.4761904761908
Willem Richard Boer	0.0
Leo Ross	89.15396825396857
Charles Vergeer	88.15396825396859
Adriaan Morriën	126.34642857142829
P.E.L. Verkuyl	116.93650793650824
Jos de Haes	130.61309523809496
Anton Korteweg	105.9531746031749
Wies Moens	172.5428571428571
Peter van Zonneveld	115.21269841269871
A. Wapenaar	126.17976190476162
Gerrit Kouwenaar	126.56626984126999
Jan Boon	126.34642857142829
D.W. Fokkema	84.3071789321792
F.J.P. Peeters	126.34642857142829
Erik Spinoy	88.15396825396857
J.A.N. Knuttel	126.84642857142829
Carel Vosmaer	128.39642857142823
Doeschka Meijsing	87.65396825396857
C.F.P. Stutterheim	150.17976190476233
B. De Wint	132.57976190476194
T.S. Eliot	126.55158730158732
Elly de Waard	87.15396825396859
Ton van Strien	84.14051226551256
Paul Maria Jozef de Meester	107.4369047619048
H. Gerversman	126.34642857142829
F. van Vinckenroye	0.0
A.C.S. de Koe	126.34642857142829
Freddy de Vree	87.65396825396859
Pierre H. Dubois	133.97976190476174
Marijke J. van der Wal	83.64051226551256
G. van Poppel	126.34642857142829
Antoon Thiry	126.34642857142829
Frank van Gestel	103.50912698412725
J.A. van Houtte	117.74761904761917
Carel Adriaan Engelbregt	0.0
André de Ridder	136.1273809523807
