Source	Target	Weight	Target_DOB	Source_DOB
A. Aerts	M.P.R. van den Broecke	1	25 mei 1942	20ste eeuw
A. Aerts	Marijke Elstrodt	1	20ste eeuw	20ste eeuw
A. Agnes Sneller	Agnes Verbiest	7	1934	19 januari 1940
A. Agnes Sneller	Anneke Neijt	1	1951	19 januari 1940
A. Agnes Sneller	Arie Schippers	2	1947	19 januari 1940
A. Agnes Sneller	Arie Verhagen	1	1951	19 januari 1940
A. Agnes Sneller	B.J. Hoff	2	1926	19 januari 1940
A. Agnes Sneller	Dorothé te Riele	2	20ste eeuw	19 januari 1940
A. Agnes Sneller	E.M. Janssen Perio	1	20 juni 1927	19 januari 1940
A. Agnes Sneller	Eric Vos	2	20ste eeuw	19 januari 1940
A. Agnes Sneller	Frank Jansen	2	1952	19 januari 1940
A. Agnes Sneller	Jan van Luxemburg	1	15 september 1936	19 januari 1940
A. Agnes Sneller	Margreet den Buurman	2	31 mei 1953	19 januari 1940
A. Agnes Sneller	Marijke J. van der Wal	1	19 december 1949	19 januari 1940
A. Agnes Sneller	Marnel Breure	2	1960	19 januari 1940
A. Agnes Sneller	R.H. Bremmer Jr.	2	13 augustus 1950	19 januari 1940
A. Agnes Sneller	Stef Slembrouck	1	1963	19 januari 1940
A. Alberts	A.L. Constandse	2	13 september 1899	23 augustus 1911
A. Alberts	Anton Koolhaas	2	16 november 1912	23 augustus 1911
A. Ampe	K.H. Heeroma	2	13 september 1909	17 april 1912
A. Bergsma	J.M.J. Sicking	2	1 maart 1936	20ste eeuw
A. Bouwman	A.E.M. Sturm	1	20ste eeuw	20ste eeuw
A. Bouwman	Evert van den Berg	2	1942	20ste eeuw
A. Bouwman	Ton van Strien	1	12 oktober 1951	20ste eeuw
A. Bouwman	W.J. van den Akker	1	22 december 1954	20ste eeuw
A. Dees	J.A. de Vries	2	1951	4 november 1928
A. Dees	P. Th. van Reenen	1	1941	4 november 1928
A. Dirkzwager	Jan Pluvier	1	12 januari 1927	20ste eeuw
A. Kibédi Varga	Attila József	3	1905	1930
A. Kibédi Varga	Sándor Weöres	3	22 juni 1913	1930
A. Kramer	Felipe M. Lorda Alaiz	1	1918	20ste eeuw
A. Kramer	Ilja Ehrenburg	1	27 januari 1891	20ste eeuw
A. Kramer	Vikentij Gerasimtsjoek	1	20ste eeuw	20ste eeuw
A. Marja	Evert Werkman	2	1915	8 maart 1917
A. Marja	N.A. Donkersloot	2	8 september 1902	8 maart 1917
A. Merckx	Ben Cami	1	30 augustus 1920	20ste eeuw
A. Merckx	Karel Jonckheere	1	9 april 1906	20ste eeuw
A. Merckx	Leopold Flam	1	16 maart 1912	20ste eeuw
A. Merckx	Pieter de Prins	1	24 mei 1926	20ste eeuw
A. Merckx	Raymond Brulez	1	18 oktober 1895	20ste eeuw
A. Merckx	Walter Volkaert	1	20ste eeuw	20ste eeuw
A. Merckx	Ward Ruyslinck	1	17 juni 1929	20ste eeuw
A. Merckx	Wim Meewis	1	7 juli 1926	20ste eeuw
A. Mertens	Jan Elzo Niemeijer	1	1922	20ste eeuw
A. Mertens	Lidy van Eijsselsteijn	2	3 juni 1904	20ste eeuw
A. Middeldorp	A. Roland Holst	1	23 mei 1888	13 december 1921
A. Middeldorp	A.J. Dekker	1	1939	13 december 1921
A. Middeldorp	A.L. Sötemann	2	11 augustus 1920	13 december 1921
A. Middeldorp	Bert Voeten	2	6 juli 1918	13 december 1921
A. Middeldorp	James Brockway	2	21 oktober 1916	13 december 1921
A. Middeldorp	N.A. Donkersloot	1	8 september 1902	13 december 1921
A. Middeldorp	P.J. Meertens	1	6 september 1899	13 december 1921
A. Middeldorp	Paul Rodenko	2	26 november 1920	13 december 1921
A. Middeldorp	Roel Houwink	1	17 januari 1899	13 december 1921
A. Middeldorp	Simon Vestdijk	1	17 oktober 1898	13 december 1921
A. Middeldorp	Simon Vinkenoog	2	18 juli 1928	13 december 1921
A. Middeldorp	Victor E. van Vriesland	1	27 oktober 1892	13 december 1921
