Source	Target	Weight	Target_DOB	Source_DOB
A. Agnes Sneller	Agnes Verbiest	3	1934	19 januari 1940
A. Agnes Sneller	Arie Schippers	1	1947	19 januari 1940
A. Agnes Sneller	B.J. Hoff	1	1926	19 januari 1940
A. Agnes Sneller	Dorothé te Riele	1	20ste eeuw	19 januari 1940
A. Agnes Sneller	Eric Vos	1	20ste eeuw	19 januari 1940
A. Agnes Sneller	Frank Jansen	1	1952	19 januari 1940
A. Agnes Sneller	Margreet den Buurman	1	31 mei 1953	19 januari 1940
A. Agnes Sneller	Marnel Breure	1	1960	19 januari 1940
A. Agnes Sneller	R.H. Bremmer Jr.	1	13 augustus 1950	19 januari 1940
A. Alberts	Anton Koolhaas	1	16 november 1912	23 augustus 1911
A. Ampe	K.H. Heeroma	1	13 september 1909	17 april 1912
A. Bergsma	J.M.J. Sicking	1	1 maart 1936	20ste eeuw
A. Bouwman	Evert van den Berg	1	1942	20ste eeuw
A. Dees	J.A. de Vries	1	1951	4 november 1928
A. Marja	Evert Werkman	1	1915	8 maart 1917
A. Mertens	Lidy van Eijsselsteijn	1	3 juni 1904	20ste eeuw
A. Middeldorp	A.L. Sötemann	1	11 augustus 1920	13 december 1921
A. Middeldorp	Bert Voeten	1	6 juli 1918	13 december 1921
A. Middeldorp	James Brockway	1	21 oktober 1916	13 december 1921
A. Middeldorp	Paul Rodenko	1	26 november 1920	13 december 1921
A. Middeldorp	Simon Vinkenoog	1	18 juli 1928	13 december 1921
A. Mooij	G.J. de Haan	1	1944	1944
A. Mooij	P.E.L. Verkuyl	1	1929	1944
A. Mooij	R. Jansen-Sieben	1	1930	1944
A. Prins	C. de Waal	1	 19de eeuw	19de eeuw
A. Prins	C. de Waal	1	19de eeuw	19de eeuw
A. Prins	F.G. Steck	1	19de eeuw	19de eeuw
A. Prins	L.A.J.W. Sloet	1	28 maart 1806	19de eeuw
A. Prins	L.W.C. Keuchenius	1	19de eeuw	19de eeuw
A. Roland Holst	A. Middeldorp	1	13 december 1921	23 mei 1888
A. Roland Holst	A.L. Sötemann	1	11 augustus 1920	23 mei 1888
A. Roland Holst	Abram de Swaan	1	1942	23 mei 1888
A. Roland Holst	Adriaan van der Veen	1	16 december 1916	23 mei 1888
A. Roland Holst	Annie Romein-Verschoor	1	4 februari 1895	23 mei 1888
A. Roland Holst	Bert Voeten	3	6 juli 1918	23 mei 1888
A. Roland Holst	Daniel de Lange	1	20ste eeuw	23 mei 1888
A. Roland Holst	E.H. Toxopeus	1	12 februari 1918	23 mei 1888
A. Roland Holst	Eva Tas	1	1915	23 mei 1888
A. Roland Holst	J.C. Bloem	1	10 mei 1887	23 mei 1888
A. Roland Holst	J.W. Schulte Nordholt	1	12 september 1920	23 mei 1888
A. Roland Holst	James Brockway	1	21 oktober 1916	23 mei 1888
A. Roland Holst	Jeanne van Schaik-Willing	1	8 oktober 1895	23 mei 1888
A. Roland Holst	Joop den Uyl	1	9 augustus 1919	23 mei 1888
A. Roland Holst	Jos Ruting	1	6 februari 1909	23 mei 1888
A. Roland Holst	K. Schippers	1	6 november 1936	23 mei 1888
A. Roland Holst	K. Zickhardt	1	1922	23 mei 1888
A. Roland Holst	Leo Vroman	2	10 april 1915	23 mei 1888
A. Roland Holst	Louise van Santen	1	15 mei 1924	23 mei 1888
A. Roland Holst	M. Vasalis	1	13 februari 1909	23 mei 1888
A. Roland Holst	N.A. Donkersloot	1	8 september 1902	23 mei 1888
A. Roland Holst	Nico Scheepmaker	1	13 november 1930	23 mei 1888
A. Roland Holst	Nico Wijnen	1	1916	23 mei 1888
A. Roland Holst	P. Maliepaard	1	20ste eeuw	23 mei 1888
A. Roland Holst	P.J. Meertens	1	6 september 1899	23 mei 1888
