	Author	degree	in_degree	out_degree	betweenness	closeness	harmonic	eigenvector	node_degree	clustering	square_clustering	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass	louvain_communities	leiden_partitions
0	Albert Helman	0.03959336543606206	0.02701979668271803	0.012573568753344033	0.0028559799621928296	0.30731603126604196	2530.069047619033	0.050024237000107954	296.0	0.0927263141003599	0.03949849676965394	https://www.dbnl.org/auteurs/auteur.php?id=helm003	helm003	Albert	Helman	Albert Helman/Beckmesser/Brandaris/Floris Kapteyn/Friedrich Nietzsche/Hella Bentram-Matriotte/Hypertonides/J.B. Tenoten/Jo Jaspers/Joost van den Vondel/Lodewijk Alphonsus Maria Lichtveld/Lou Lichtveld/Louis Lightfield/N. Slob/Rolf Keuler	1903-11-07	Paramaribo	Suriname	1996-07-10	Amsterdam	Nederland	male	musicus/journalist/politicus/redacteur/staatsman/jongleur/minstreel/bestuurder	Twintigste Eeuw	nl	jeugdliteratuur/nonfictie/suriname/buitenland		acrobaat/redacteur/ambtman/musicus/speelman/bestuurder/journalist	7.0/2.0/1.0/4.0/4.0/1.0/2.0	1.0	0.0	3.0
1	Hendrik Andriessen	0.008828250401284108	0.006955591225254146	0.0018726591760299624	0.00042175023695907593	0.2601399698020095	2112.869047618961	0.011359497202757926	66.0	0.2011225444340505	0.06241670368725011	https://www.dbnl.org/auteurs/auteur.php?id=andr036	andr036	Hendrik Franciscus	Andriessen	Hendrik Andriessen	1892-09-17	Haarlem	Nederland	1981-04-12	Haarlem	Nederland	male	jongleur/musicus/minstreel	Twintigste Eeuw	nl			speelman/acrobaat/musicus	4.0/7.0/4.0	4.0	1.0	1.0
2	Henk Kuitenbrouwer	0.030497592295345103	0.005885500267522739	0.024612092027822365	0.0010637091121442357	0.2613234876247346	2116.4523809523052	0.015769018953941498	228.0	0.11288075240933546	0.039401768887787174	https://www.dbnl.org/auteurs/auteur.php?id=kuit001	kuit001	Carel Hendrik Gerhardus Maria	Kuitenbrouwer	Henk Kuitenbrouwer	1903-11-20	Utrecht	Nederland	1974-08-03	Utrecht	Nederland	male	onderwijzer (basisschool)/redacteur/journalist	Twintigste Eeuw		jeugdliteratuur		journalist/onderwijzer op een lagere school/redacteur	2.0/4.0/2.0	2.0	0.0	3.0
3	Henri Bruning	0.013108614232209737	0.013108614232209737	0.0	0.0	0.297747876356909	2421.0952380951985	0.032192695533686665	98.0	0.16126656848306334	0.0	https://www.dbnl.org/auteurs/auteur.php?id=brun009	brun009	Henricus Josephus	Bruning	Henri Bruning	1900-07-10	Amsterdam	Nederland	1983-01-17	Nijmegen	Nederland	male		Twintigste Eeuw	nl						0.0	3.0
4	Jan Bruna	0.008159443552701979	0.0018726591760299624	0.006286784376672017	0.000122544855782567	0.24786983223294487	1975.728571428483	0.007279832447382662	61.0	0.28123280132085854	0.06221192331999157	https://www.dbnl.org/auteurs/auteur.php?id=brun020	brun020	Jan	Bruna	Jan Bruna	1876-08-17			1931-03-11			male	redacteur/journalist	Twintigste Eeuw	nl	secundair		journalist/redacteur	2.0/2.0	2.0	0.0	3.0
5	Joep Nicolas	0.009497057249866239	0.008025682182985553	0.0014713750668806848	0.0006558780503950665	0.2613096639108315	2132.319047618965	0.024807280633935128	71.0	0.2397094430992736	0.05379850016302576	https://www.dbnl.org/auteurs/auteur.php?id=nico008	nico008	Josephus Antonius Hubertus Franciscus	Nicolas	Joep Nicolas	1897-10-06	Roermond	Nederland	1972-07-25	Steyl	Nederland	male	schilder/ambachtsman	Twintigste Eeuw		nonfictie		ambachtsman/schilder	7.0/9.0	7.0	0.0	3.0
6	Albert Kuyle	0.038523274478330656	0.019662921348314606	0.01886035313001605	0.0013770172802482948	0.2868140211676455	2364.7285714285226	0.04063036248804571	288.0	0.1080112370434951	0.03797730450683016	https://www.dbnl.org/auteurs/auteur.php?id=kuyl001	kuyl001	Louis Maria Albertus	Kuyle	Albert Kuyle/L.M.A Kuitenbrouwer	1904-02-17	Utrecht	Nederland	1958-03-04	Utrecht	Nederland	male	uitgever/boekdrukker/redacteur/journalist	Twintigste Eeuw	nl	jeugdliteratuur		journalist/uitgever/boekdrukker/redacteur	2.0/1.0/7.0/2.0	1.0	0.0	3.0
7	Albe	0.3006955591225254	0.2974852862493312	0.003210272873194221	0.060444723242586436	0.45294314015866116	4004.716666666702	0.2844437133242049	2248.0	0.014335343012047383	0.035702971551669516	https://www.dbnl.org/auteurs/auteur.php?id=albe001	albe001		Albe	Albe/Kapitein Zeldenthuis/Piet Punt/Renaat Antoon Louisa Joostens	1902-06-08	Mechelen	België (Vlaanderen)	1973-10-10	Brussel	België (Brussel)	male	vertaler					vertaler	4.0	4.0	2.0	0.0
8	Jan Engelman	0.06487426431246655	0.031300160513643656	0.0335741037988229	0.009541926389372464	0.31710090426051857	2613.111904761905	0.06763912036292667	485.0	0.09263174946925064	0.03357010460036699	https://www.dbnl.org/auteurs/auteur.php?id=enge016	enge016	Johannes Aloysius Antonius	Engelman	Jan Engelman	1900-06-07	Utrecht	Nederland	1972-03-20	Amsterdam	Nederland	male	redacteur/journalist/vertaler	Twintigste Eeuw	nl	secundair/nonfictie		vertaler/journalist/redacteur	4.0/2.0/2.0	2.0	0.0	3.0
9	Carel Scharten	0.03838951310861423	0.01431246655965757	0.02407704654895666	0.0034230875908664196	0.30381929310353395	2464.9357142857007	0.04121045184132329	287.0	0.1084809015073906	0.03205188370915893	https://www.dbnl.org/auteurs/auteur.php?id=scha043	scha043	Carel Theodoor	Scharten	Carel Scharten/Peter Aerds	1878-03-14	Middelburg	Nederland	1950-10-30	Florence	Italië	male		19e/20e Eeuw	nl	secundair					2.0	0.0
10	Willem Maas	0.004681647940074906	0.0018726591760299624	0.0028089887640449437	4.913712659773495e-06	0.24117751618837802	1921.3285714284966	0.00494919798963859	35.0	0.42105263157894735	0.08687567790919891	https://www.dbnl.org/auteurs/auteur.php?id=maas024	maas024	Willem Arnoldus	Maas	Willem Maas	1897-04-28	Utrecht	Nederland	1950-05-06	Utrecht	Nederland	male	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw				illustrateur/beeldhouwer/tekenaar	4.0/4.0/4.0	4.0	0.0	3.0
