Author	DOB
	
Jan Engelman	7 juni 1900
Willem Maas	28 april 1897
Joep Nicolas	6 oktober 1897
Albert Helman	7 november 1903
Willem Nieuwenhuis	1886
Karel van den Oever	19 november 1879
Wies Moens	28 januari 1898
Eduard A. Serrarens	27 december 1895
Henk Kuitenbrouwer	20 november 1903
Jan Bruna	17 augustus 1876
Albert Kuyle	17 februari 1904
L.J.M. Feber	24 april 1885
G.P.M. Knuvelder	25 januari 1902
M. Bruna	30 januari 1903
Bernard Verhoeven	29 april 1897
Adr. E. Maas	6 januari 1817
Marnix Gijsen	20 oktober 1899
Ed. Hoornik	9 maart 1910
Gerard Bruning	18 februari 1898
Sybold van Ravesteyn	18 februari 1889
Piet Visser	1898
J. Eigenhuis	1866
Dirk Coster	7 juli 1887
Herman Teirlinck	24 februari 1879
Jan Campert	15 augustus 1902
Henriette Roland Holst-van der Schalk	24 december 1869
Jos. van der Kolk	1879
C.A. Terburg	1892
H. Marsman	30 september 1899
J.A. Dom Gregorius de Wit	9 juni 1892
Jean Cocteau	5 juli 1889
Wim Snitker	1901
P.A. Kerstens	23 augustus 1896
Eliseus Bruning	25 november 1892
Willem ten Berge	3 juli 1903
Menno ter Braak	26 januari 1902
Wouter Lutkie	23 februari 1887
Hendrik Andriessen	17 september 1892
Kees Meekel	7 oktober 1883
Pieter van der Meer de Walcheren	10 september 1880
Herman de Man	11 juli 1898
Michel de Ghelderode	3 april 1898
Willem Putman	7 juni 1900
To Hölscher	16 januari 1898
Jos. Panhuijsen	13 mei 1900
Pierre Kemp	1 december 1886
Paul van Ostaijen	22 februari 1896
Victor J. Brunclair	18 oktober 1899
Anton van Duinkerken	2 januari 1903
Marie Koenen	19 januari 1879
A. Roland Holst	23 mei 1888
N.A. Donkersloot	8 september 1902
Roel Houwink	17 januari 1899
Mathias Kemp	31 december 1890
J.C. van Schagen	11 december 1891
Henrik Scholte	25 januari 1903
A. den Doolaard	7 februari 1901
Martien Beversluis	28 maart 1894
J.J. ten Berge S.J.	14 december 1892
Erich Wichman	11 augustus 1890
Blaise Cendrars	1 september 1887
H.W.E. Moller	8 november 1869
Dop Bles	8 september 1883
Hans van Zijl	1910
François Villon	1431
J. Wille	8 april 1881
Henri Morel	28 november 1898
J.H. Horemans	
Theo Vonck	1900
Lambert Melissen	8 november 1909
Gerard Wijdeveld	1905
[tijdschrift] Dietsche Warande en Belfort	
Mien Proost	21 februari 1902
Jacques Gans	7 december 1907
Theo Schlichting	14 januari 1894
N. van Wijk	4 oktober 1880
Hendrik Wiegersma	7 oktober 1891
Theun de Vries	26 april 1907
H.E.H. van Loon	1885
J.F.M. Sterck	3 januari 1859
J.C. Bloem	10 mei 1887
Vic Reinders	7 augustus 1888
Jan H. Eekhout	10 januari 1900
Huub van der Grinten	19de eeuw
F.J.H. Lousberg	1891
Henri Borel	23 november 1869
D.A.M. Binnendijk	12 oktober 1902
A. Viruly	5 januari 1905
Jacques Schreurs	9 februari 1893
Gerrit Achterberg	20 mei 1905
J.J. van Geuns	25 februari 1893
Halbo C. Kool	25 januari 1907
Emile Erens	27 april 1865
Maurits Mok	7 november 1907
Gabriël Smit	25 februari 1910
Joris Ivens	18 november 1898
Luc Tournier	19 november 1907
Wilhelmus Nicolaï	
Jan van Gelder	1903
Chris de Graaff	13 september 1890
Oscar Leyendekkers	19de eeuw
A.J.D. van Oosten	12 november 1898
L. Stolte	19de eeuw
A.J.A. Etman	30 mei 1910
J.B. Stolte	1908
N.G.H. Deen	24 februari 1897
W.P.J. Pompe	10 maart 1893
Frans Erens	23 juli 1857
Charles Eyck	24 maart 1897
Ad. Sassen	1906
Lodewijk van Deyssel	22 september 1864
Jan Thorn-Prikker	5 juni 1868
Alfons Olterdissen	1865
G.D. Franquinet	1 mei 1826
E. Jaspar	17 oktober 1872
Laurent Polis	11 oktober 1845
G.H. Weustink	19de eeuw
P. Hendrix	25 januari 1896
M. Revis	6 augustus 1904
A. van Domburg	9 januari 1895
Jan H. de Groot	13 maart 1901
Frans van Oldenburg Ermke	6 februari 1909
Giovanni Papini	1881
Ellen Russe	4 mei 1889
Sigmund Freud	6 mei 1856
Martin Bruijns	1903
Eric van der Steen	14 september 1907
Leo van Breen	1906
Herman Oosterwijk	1902
Louis de Bourbon	27 december 1908
Berend Kuitert Cz	31 oktober 1817
A.C. Ramselaar	1899
Koos van Doorne	1908
Alphons Diepenbrock	2 september 1862
August van Cauwelaert	31 december 1885
Aug. Cuypers	26 september 1899
Jan Derks	1912
Stijn Streuvels	3 oktober 1871
Paul Vlemminx	1907
Franciscus De Smidt	1567
G.J. Peelen	1905
Heleen Hoekstra	20ste eeuw
A.P.Th. Sassen	9 september 1844
Jos. van Schaveren	1911
Jop Pollmann	1902
E.Th.J. Brom	20 juli 1862
G. Vrijmoed	5 november 1881
Willem Brandt	6 september 1905
E.H.M. Beekman	ca. 1883
H. van Rooijen	22 december 1902
C.R. de Klerk	1873
H.M. van Randwijk	9 november 1909
Carole Vos	1933
Antoon Coolen	17 april 1897
J.H. Newman	21 februari 1801
Hendrik de Vries	17 augustus 1896
Gaston Burssens	18 februari 1896
Paul Claudel	6 augustus 1868
Michiel de Swaen	20 januari 1654
Wouter Paap	7 mei 1908
David de Kok	1884
J.A.A. Mekel	22 december 1891
Felix Rutten	13 juli 1882
Freek van Leeuwen	27 februari 1905
Herluf van Merlet	17 mei 1900
L.S.J. Hanekroot	1908
Kees Klap	20ste eeuw
C.C. Berg	18 december 1900
Jan Vercammen	7 november 1906
Jan Gin	1 november 1910
F. Bordewijk	10 oktober 1884
Johan Brouwer	31 mei 1898
Charles Nypels	31 oktober 1895
Marie Gijsen	21 april 1856
Luc van Hoek	1910
Willem Nolet	28 september 1885
A.G.W. Severijnen	19de eeuw
G.W. van der Does	25 november 1894
Clara Eggink	18 april 1906
C.P.M. Romme	21 december 1896
J.W.F. Werumeus Buning	4 mei 1891
Hubert Cuypers jr.	1898
Jac. van Hattum	10 februari 1900
Renaat de Vos	1907
F.Ph.A. Tellegen	1904
W.H. Beuken	10 augustus 1898
Dick Ouwendijk	1907
Ernest van der Hallen	2 juni 1898
Leo Boekraad	1914
