Author	DOD
	
Jan Engelman	20 maart 1972
Willem Maas	6 mei 1950
Joep Nicolas	25 juli 1972
Albert Helman	10 juli 1996
Willem Nieuwenhuis	1935
Karel van den Oever	6 oktober 1926
Wies Moens	5 februari 1982
Eduard A. Serrarens	25 november 1955
Jan Bruna	11 maart 1931
Albert Kuyle	4 maart 1958
L.J.M. Feber	3 juli 1964
G.P.M. Knuvelder	29 juni 1982
M. Bruna	
Bernard Verhoeven	4 juni 1965
Adr. E. Maas	3 juli 1886
Ed. Hoornik	1 maart 1970
Gerard Bruning	8 oktober 1926
Piet Visser	
J. Eigenhuis	16 oktober 1944
Dirk Coster	8 oktober 1956
Herman Teirlinck	4 februari 1967
Jan Campert	12 januari 1943
Henriette Roland Holst-van der Schalk	21 november 1952
Jos. van der Kolk	1930
C.A. Terburg	1970
H. Marsman	21 juni 1940
J.A. Dom Gregorius de Wit	1978
Jean Cocteau	11 oktober 1963
Wim Snitker	1950
P.A. Kerstens	8 oktober 1958
Eliseus Bruning	31 mei 1958
Willem ten Berge	12 mei 1969
Menno ter Braak	15 mei 1940
Wouter Lutkie	23 januari 1968
Hendrik Andriessen	12 april 1981
Kees Meekel	25 november 1953
Pieter van der Meer de Walcheren	16 december 1970
Herman de Man	14 november 1946
Michel de Ghelderode	1 april 1962
Willem Putman	3 september 1954
To Hölscher	9 december 1953
Jos. Panhuijsen	21 januari 1986
Pierre Kemp	21 juli 1967
Paul van Ostaijen	18 maart 1928
Victor J. Brunclair	21 november 1944
Marie Koenen	10 juli 1959
A. Roland Holst	6 augustus 1976
Roel Houwink	3 juni 1987
Mathias Kemp	7 augustus 1964
J.C. van Schagen	17 april 1985
Henrik Scholte	28 mei 1988
A. den Doolaard	26 juni 1994
Martien Beversluis	18 februari 1966
J.J. ten Berge S.J.	23 december 1978
Erich Wichman	1 januari 1929
Blaise Cendrars	21 januari 1961
H.W.E. Moller	6 december 1940
Dop Bles	16 januari 1940
Hans van Zijl	3 december 1963
François Villon	ca. 1463
J. Wille	16 april 1964
Henri Morel	3 november 1969
J.H. Horemans	
Theo Vonck	1974
Lambert Melissen	
Gerard Wijdeveld	1997
[tijdschrift] Dietsche Warande en Belfort	
Mien Proost	7 november 1987
Jacques Gans	26 augustus 1972
Theo Schlichting	14 september 1957
N. van Wijk	25 maart 1941
Hendrik Wiegersma	5 april 1969
Theun de Vries	21 januari 2005
H.E.H. van Loon	1942
J.F.M. Sterck	28 augustus 1941
J.C. Bloem	10 augustus 1966
Vic Reinders	14 juni 1961
Jan H. Eekhout	6 maart 1978
Huub van der Grinten	
F.J.H. Lousberg	1965
Henri Borel	31 augustus 1933
D.A.M. Binnendijk	1 juni 1984
