Author	POB
	
Willem Maas	Utrecht
Joep Nicolas	
Willem Nieuwenhuis	
Karel van den Oever	Antwerpen
Wies Moens	Sint-Gillis-Bij-Dendermonde
Eduard A. Serrarens	Maastricht
L.J.M. Feber	Bergen op Zoom
G.P.M. Knuvelder	Arnhem
Jan Bruna	
Bernard Verhoeven	Arnhem
Adr. E. Maas	Rotterdam
M. Bruna	Utrecht
Ed. Hoornik	Den Haag
Gerard Bruning	Amsterdam
Sybold van Ravesteyn	
Jos. van der Kolk	
C.A. Terburg	
J.A. Dom Gregorius de Wit	Hilversum
Jean Cocteau	Maisons-Laffitte
Wim Snitker	
Eliseus Bruning	Geldrop
Willem ten Berge	Leens
Wouter Lutkie	Hertogenbosch
Hendrik Andriessen	Haarlem
Henriette Roland Holst-van der Schalk	Noordwijk
Kees Meekel	Amstelveen
Pieter van der Meer de Walcheren	Utrecht
Herman de Man	Woerden
Michel de Ghelderode	Elsene
Willem Putman	Waregem
To Hölscher	Helmond
Jan Campert	Spijkenisse
Jos. Panhuijsen	Tilburg
Pierre Kemp	Maastricht
Paul van Ostaijen	Antwerpen
Victor J. Brunclair	Antwerpen
Marie Koenen	's-Hertogenbosch
A. Roland Holst	Amsterdam
Roel Houwink	Breda
Mathias Kemp	Maastricht
J.C. van Schagen	Vlissingen
Henrik Scholte	Groningen
A. den Doolaard	Zwolle
Martien Beversluis	Barendrecht
J.J. ten Berge S.J.	Leens
Erich Wichman	Utrecht
Blaise Cendrars	La Chaux-de-Fonds
H.W.E. Moller	Amsterdam
Dop Bles	Rotterdam
Hans van Zijl	
François Villon	Frankrijk
J. Wille	Koudekerk a/d Rijn
Henri Morel	Nijmegen
J.H. Horemans	
Theo Vonck	
Lambert Melissen	Langeweg
Gerard Wijdeveld	
[tijdschrift] Dietsche Warande en Belfort	
Mien Proost	Amsterdam
Jacques Gans	Hilversum
Theo Schlichting	Graft
H.E.H. van Loon	Rotterdam
J.F.M. Sterck	Amsterdam
J.C. Bloem	Oudshoorn
Vic Reinders	Maastricht
Jan H. Eekhout	Sluis
Huub van der Grinten	
F.J.H. Lousberg	Maastricht
Henri Borel	Dordrecht
D.A.M. Binnendijk	Leiden
Jacques Schreurs	Sittard
J.J. van Geuns	Zierikzee
Halbo C. Kool	Groningen
Emile Erens	Schaesberg
Maurits Mok	Haarlem
Gabriël Smit	Utrecht
Joris Ivens	Nijmegen
Luc Tournier	Rotterdam
Wilhelmus Nicolaï	Amsterdam
A.J.A. Etman	Den Haag
J.B. Stolte	
N.G.H. Deen	Den Haag
