Author	POD
	
Willem Maas	Utrecht
Willem Nieuwenhuis	
Karel van den Oever	Antwerpen
Wies Moens	Geleen
Eduard A. Serrarens	Roermond
L.J.M. Feber	Den Haag
G.P.M. Knuvelder	Eindhoven
Jan Bruna	
Bernard Verhoeven	Arnhem
Adr. E. Maas	Scheveningen
M. Bruna	
Ed. Hoornik	Amsterdam
Gerard Bruning	Nijmegen
Piet Visser	
Jos. van der Kolk	
C.A. Terburg	
J.A. Dom Gregorius de Wit	Visp
Jean Cocteau	Milly-la-Forêt
Wim Snitker	
Eliseus Bruning	Nijmegen
Willem ten Berge	Haarlem
Wouter Lutkie	Nuland
Hendrik Andriessen	Haarlem
Henriette Roland Holst-van der Schalk	Amsterdam
Kees Meekel	Bachellerie
Pieter van der Meer de Walcheren	Breda
Herman de Man	Schiphol
Michel de Ghelderode	Schaarbeek
Willem Putman	Brugge
To Hölscher	Helmond
Jan Campert	Neuengamme
Jos. Panhuijsen	Amsterdam
Pierre Kemp	Maastricht
Paul van Ostaijen	Miavoye-Anthée
Victor J. Brunclair	Lagelund (Sleeswijk-Holstein)
Marie Koenen	Maastricht
A. Roland Holst	Bergen
Roel Houwink	Zeist
Mathias Kemp	Maastricht
J.C. van Schagen	Deventer
Henrik Scholte	Amsterdam
A. den Doolaard	Hoenderloo
Martien Beversluis	Vrouwenpolder
J.J. ten Berge S.J.	Nijmegen
Erich Wichman	Amsterdam
Blaise Cendrars	Parijs
H.W.E. Moller	Tilburg
Dop Bles	Den Haag
Hans van Zijl	
François Villon	
J. Wille	Oosterbeek
Henri Morel	Heerlen
J.H. Horemans	
Theo Vonck	
Lambert Melissen	
Gerard Wijdeveld	
[tijdschrift] Dietsche Warande en Belfort	
Mien Proost	
Jacques Gans	Amsterdam
Theo Schlichting	Amsterdam
Hendrik Wiegersma	Deurne
H.E.H. van Loon	
J.F.M. Sterck	Amsterdam
J.C. Bloem	Kalenberg
Vic Reinders	Maastricht
Jan H. Eekhout	Amsterdam
Huub van der Grinten	
F.J.H. Lousberg	Maastricht
D.A.M. Binnendijk	Amsterdam
A. Viruly	
Jacques Schreurs	Weert
J.J. van Geuns	Amsterdam
Halbo C. Kool	Kortenhoef
Emile Erens	Heemstede
Maurits Mok	Bergen
Gabriël Smit	Laren (N.H.)
Joris Ivens	Parijs
Luc Tournier	Willemstad
Wilhelmus Nicolaï	
Oscar Leyendekkers	
Chris de Graaff	Amsterdam
L. Stolte	
A.J.A. Etman	
J.B. Stolte	
N.G.H. Deen	Rotterdam
