File	Mentions
GEM_1925_3	Joep Nicolas
GEM_1925_5	Hendrik Andriessen
GEM_1925_6	Willem Nieuwenhuis
GEM_1925_7	Karel van den Oever
GEM_1925_9	Wies Moens
GEM_1925_11	Henri Bruning
GEM_1925_11	Joep Nicolas
GEM_1925_11	Albert Kuyle
GEM_1925_11	Albe
GEM_1925_12	Carel Scharten
GEM_1925_12	Frans Coenen
GEM_1925_12	Herman Robbers
GEM_1925_12	Roel Houwink
GEM_1925_13	Dirk Coster
GEM_1925_13	F. Bordewijk
GEM_1925_13	Albert Plasschaert
GEM_1925_13	Erich Wichman
GEM_1925_13	L.J.M. Feber
GEM_1925_13	Willem Pijper
GEM_1925_13	Albe
GEM_1925_14	Frederik van Eeden
GEM_1925_16	Hendrik Andriessen
GEM_1925_23	Karel van den Oever
GEM_1925_26	Albe
GEM_1925_28	Henri Bruning
GEM_1925_28	Just Havelaar
GEM_1925_28	Michelangelo
GEM_1925_28	Gerard Bruning
GEM_1925_28	Joep Nicolas
GEM_1925_28	Gerard Brom
GEM_1925_29	Frans Erens
GEM_1925_29	H. Marsman
GEM_1925_29	Herman Menagé Challa
GEM_1925_29	C.J. Kelk
GEM_1925_29	H.W.J.M. Keuls
GEM_1925_29	P.C. Boutens
GEM_1925_30	Multatuli
GEM_1925_30	Albert Verwey
GEM_1925_30	Marcellus Emants
GEM_1925_30	Hélène Swarth
GEM_1925_30	Albe
GEM_1925_30	Frederik van Eeden
GEM_1925_30	Herman Gorter
GEM_1925_32	Plato
GEM_1925_33	Henk Kuitenbrouwer
GEM_1925_35	Bernard Verhoeven
GEM_1925_36	Leopold
GEM_1925_36	Wouter Hutschenruyter
GEM_1925_36	Gerard Brom
GEM_1925_37	J.A. Lambert-van der Kolf
GEM_1925_37	Marie Koenen
GEM_1925_37	Marie Gijsen
GEM_1925_38	Herman Gorter
GEM_1925_38	Albert Verwey
GEM_1925_38	Leopold
GEM_1925_38	Albe
GEM_1925_45	Karel van den Oever
GEM_1925_46	Just Havelaar
GEM_1925_46	Pieter van der Meer
GEM_1925_46	Rie Cramer
GEM_1925_46	Johan de Meester
GEM_1925_46	Joep Nicolas
GEM_1925_46	Léon
GEM_1925_46	Pieter van der Meer de Walcheren
