Author	Degree	In-degree	Out-degree	Betweenness	Closeness	Harmonic	Eigenvector	Clustering	Square_Clustering
Albert Helman	0.03946308724832214	0.026845637583892613	0.01261744966442953	0.00288134587479858	0.2995344011098564	2470.352380952357	0.048285617637319846	0.0910791467211972	0.03923930859397217
Hendrik Andriessen	0.008859060402684563	0.0069798657718120796	0.001879194630872483	0.0004302108940455346	0.2580438779895651	2093.2357142856267	0.0114054827390052	0.2011225444340505	0.06265794559238888
Henk Kuitenbrouwer	0.03060402684563758	0.005906040268456376	0.024697986577181207	0.0011185752864984783	0.2594259871096237	2098.5833333332575	0.015754972280319576	0.11288075240933546	0.0391539376312025
Henri Bruning	0.013020134228187917	0.013020134228187917	0.0	0.0	0.2886067848723344	2351.0261904761423	0.030482975198129952	0.15539089347079038	0.0
Jan Bruna	0.008187919463087247	0.001879194630872483	0.006308724832214765	0.00012991587744485902	0.2453481036624793	1954.1619047618203	0.007261074942060905	0.28123280132085854	0.06198649361253338
Joep Nicolas	0.009530201342281878	0.008053691275167784	0.001476510067114094	0.0006619663380728117	0.2590825039151665	2112.0190476189687	0.02519260152737632	0.2397094430992736	0.05403340246697959
Albert Kuyle	0.0385234899328859	0.01959731543624161	0.018926174496644292	0.0014536230601458614	0.2853640459036443	2348.609523809473	0.04124722254967549	0.1077917327155225	0.03765111040988869
Albe	0.30093959731543624	0.2977181208053691	0.0032214765100671136	0.06520656736783269	0.4507090325157706	3979.700000000034	0.28775093027028764	0.014170366029972804	0.03590607225699851
Jan Engelman	0.06429530201342282	0.031140939597315433	0.03315436241610738	0.0092148714508237	0.3100713595060008	2560.8285714285557	0.06615468436280157	0.09128933566433567	0.03272920130141667
Carel Scharten	0.03825503355704698	0.014228187919463085	0.02402684563758389	0.0033890602108010014	0.2963229655900524	2404.3190476190207	0.039138218984443765	0.1051622637775799	0.030693667944655396
Willem Maas	0.004697986577181208	0.001879194630872483	0.0028187919463087247	5.108382228856952e-06	0.23818081887755851	1896.569047618977	0.0049500056195483375	0.42105263157894735	0.0866657994015871
Frans Coenen	0.05382550335570469	0.02389261744966443	0.029932885906040266	0.004728783152371391	0.296700378391932	2452.5857142857	0.04156964749334181	0.06686126287952499	0.02395539741872722
Herman Robbers	0.01758389261744966	0.013020134228187917	0.004563758389261745	0.001134945309239671	0.2900679418278194	2353.419047619019	0.025224815796072806	0.10707569346497414	0.031241053535642715
Roel Houwink	0.024295302013422816	0.017718120805369126	0.00657718120805369	0.0008113490649046908	0.29801985007165244	2441.728571428548	0.04500131792037377	0.17631692175302724	0.05636684523716557
Dirk Coster	0.05812080536912751	0.04348993288590604	0.014630872483221475	0.0032155990096667014	0.31992648217423153	2659.1523809523815	0.09553841318095306	0.10228719364121655	0.05779205392169769
F. Bordewijk	0.033825503355704695	0.020805369127516776	0.013020134228187917	0.002073594489169118	0.29614358247631056	2430.928571428541	0.04025674534916286	0.1119095859187033	0.03415144123064669
Albert Plasschaert	0.006308724832214765	0.006174496644295302	0.00013422818791946307	7.128405573758246e-06	0.2607564684976449	2122.199999999933	0.02273802574587576	0.32793709528214615	0.0
Erich Wichman	0.008456375838926174	0.007114093959731543	0.0013422818791946308	7.450610084950843e-05	0.28220339422706514	2274.333333333286	0.021780649620932305	0.21666666666666667	0.0711662656705078
L.J.M. Feber	0.0069798657718120796	0.005503355704697986	0.001476510067114094	0.00013278933565557906	0.270889630595613	2178.3095238094415	0.021279310628065543	0.25888133030990174	0.0218303946263644
Willem Pijper	0.011812080536912751	0.010604026845637583	0.0012080536912751677	0.00017746259343969973	0.27412281961930823	2245.619047618993	0.019380779877760226	0.14528351188920827	0.011049723756906077
Frederik van Eeden	0.05476510067114093	0.053422818791946304	0.0013422818791946308	0.0022453861398087516	0.3203454809066973	2691.2523809523905	0.0826361556380877	0.06656669316566693	0.01660064138841728
M. Bruna	0.002147651006711409	0.0006711409395973154	0.001476510067114094	3.924067159096086e-07	0.23191409115986414	1828.6904761904088	0.002635633382641869	0.6086956521739131	0.07614766380602098
Karel van den Oever	0.018120805369127514	0.016778523489932886	0.0013422818791946308	0.00013595707682699022	0.2885622508656978	2349.0857142856717	0.048170425797248034	0.1881845336873548	0.08423457730388423
Just Havelaar	0.013825503355704696	0.01261744966442953	0.0012080536912751677	7.032108050370556e-05	0.2917633350585182	2366.702380952349	0.03153767985126466	0.14394516374714394	0.014925373134328358
Gerard Bruning	0.01570469798657718	0.0148993288590604	0.0008053691275167784	0.00018475526796828142	0.2875445740860621	2369.852380952343	0.04260861850579963	0.19273290094339623	0.040169133192389
Gerard Brom	0.05167785234899328	0.025503355704697986	0.0261744966442953	0.007361373306247568	0.3083320206054566	2530.2690476190196	0.05073734996805703	0.0913527269773801	0.03254944769749937
