	Author	Partition
0	Ed. Hoornik	0
1	Nico Rost	0
2	A. Roland Holst	0
3	Gérard de Nerval	0
4	Sigmund Freud	0
5	William Blake	0
6	Joris Iven	0
7	Joris Ivens	0
8	Herluf van Merlet	0
9	Herman Heijermans	0
10	Insider	0
11	Louis Saalborn	0
12	J.C. Noordstar	0
13	Giacomo Leopardi	0
14	Han G. Hoekstra	0
15	D.H. Lawrence	0
16	Ben Onie	0
17	H.M. van Randwijk	0
18	Anton Koolhaas	0
19	Bertus van Lier	0
20	Stéphane Mallarmé	0
21	Maurits Mok	0
22	Bertus Aafjes	0
23	Bert Bakker	0
24	Victor J. Brunclair	0
25	Thomas Mann	0
26	Dick Elffers	0
27	Hans Keilson	0
28	Frans Kusters	0
29	Victor E. van Vriesland	0
30	Pierre H. Dubois	0
31	Max Nord	0
32	Gerrit Achterberg	0
33	James Joyce	0
34	H.J.M.F. Lodewick	0
35	J. van Delden	0
36	William Butler Yeats	0
37	L.M. Heemskerk	0
38	David Koning	0
39	Jan Wit	0
40	Edgar Allan Poe	0
41	A. Viruly	0
42	H. van Lennep	0
43	H. de Lange	0
44	Francis Bacon	0
45	W. Burger	0
46	J. Pen	0
47	Daniël de Lange	0
48	Jan Noordzij	0
49	J. Bruyn	0
50	Jan de Bruin	0
51	Heinrich von Kleist	0
52	P. Krug	0
53	Jan Mulder	0
54	Arthur Rimbaud	0
55	Armando	0
56	Rudyard Kipling	0
57	Frans de Haes	0
58	Fleur Bourgonje	0
59	Maarten van Rossem	0
60	Hugo von Hofmannsthal	0
61	D. van der Meulen	0
62	A. van Collem	0
63	Edgar Degas	0
64	Jeanne van Schaik-Willing	0
65	Johannes van Dam	0
66	Paul Valéry	0
67	Johan Huijts	0
68	Enrico Nencioni	0
69	Antonio Machado	0
70	C.H. van Os	0
71	P.J. Fehmers	0
72	L.G.M. Baas Becking	0
73	L. de Jong	0
74	Max de Jong	0
75	Gottfried Benn	0
76	Chr. Cornelissen	0
77	Federico García Lorca	0
78	Alexander West	0
79	Rudolf Escher	0
80	M.E. Kronenberg	0
81	Nes Tergast	0
82	Adriaan van der Veen	0
83	Annie Romein-Verschoor	0
84	M. Vasalis	0
85	Jan Don	0
86	T.S. Eliot	0
