	community	transitivity	average_clustering	community_size
0	0	0.17081413949460567	0.3263457740770417	1689
1	1	0.19711325778337194	0.5288766888706546	1568
2	2	0.17325022091376813	0.38956512270895877	1534
3	3	0.10046249805524518	0.2429789320662968	1454
4	4	0.29665655094988336	0.5315575822383124	1043
5	5	0.7735849056603774	0.7355251393486687	30
6	6	0.0	0.0	27
7	7	0.7881873727087576	0.5666400850611377	19
8	8	0.815668202764977	0.6642857142857143	12
9	9	0.9111111111111111	0.9285714285714286	8
10	10	0.0	0.0	4
11	11	0.0	0.0	3
12	12	0.0	0.0	3
13	13	0.0	0.0	3
14	14	0.0	0.0	2
15	15	0.0	0.0	2
16	16	0.0	0.0	2
17	17	0.0	0.0	2
18	18	0.0	0.0	2
19	19	0.0	0.0	2
20	20	0.0	0.0	2
21	21	0.0	0.0	2
22	22	0.0	0.0	2
23	23	0.0	0.0	2
24	24	0.0	0.0	2
25	25	0.0	0.0	2
26	26	0.0	0.0	2
27	27	0.0	0.0	2
28	28	0.0	0.0	2
29	29	0.0	0.0	2
30	30	0.0	0.0	2
31	31	0.0	0.0	2
32	32	0.0	0.0	2
33	33	0.0	0.0	2
34	34	0.0	0.0	2
35	35	0.0	0.0	2
36	36	0.0	0.0	2
37	37	0.0	0.0	2
38	38	0.0	0.0	2
39	39	0.0	0.0	2
40	40	0.0	0.0	2
