	Author	Community
0	Albert Helman	0
1	Hendrik Andriessen	1
2	Henk Kuitenbrouwer	0
3	Henri Bruning	0
4	Jan Bruna	0
5	Joep Nicolas	0
6	Albert Kuyle	0
7	Albe	2
8	Jan Engelman	0
9	Carel Scharten	2
10	Willem Maas	0
11	Frans Coenen	3
12	Herman Robbers	2
13	Roel Houwink	3
14	Dirk Coster	0
15	F. Bordewijk	3
16	Albert Plasschaert	0
17	Erich Wichman	0
18	L.J.M. Feber	0
19	Willem Pijper	3
20	Frederik van Eeden	3
21	M. Bruna	0
22	Karel van den Oever	0
23	Just Havelaar	3
24	Gerard Bruning	0
25	Gerard Brom	2
26	Frans Erens	0
27	H. Marsman	3
28	Herman Menagé Challa	0
29	C.J. Kelk	3
30	H.W.J.M. Keuls	3
31	P.C. Boutens	3
32	Bernard Verhoeven	0
33	Multatuli	2
34	Albert Verwey	3
35	Marcellus Emants	2
36	Hélène Swarth	2
37	Herman Gorter	4
38	Wouter Hutschenruyter	2
39	J.A. Lambert-van der Kolf	3
40	Marie Koenen	0
41	Marie Gijsen	0
42	Ed. Hoornik	1
43	Rie Cramer	0
44	Johan de Meester	2
45	Pieter van der Meer de Walcheren	0
46	Pol de Mont	0
47	Karel van de Woestijne	0
48	Cyriel Verschaeve	0
49	Max Brod	3
50	H. Mol	2
51	Willem Kloos	0
52	Daan van der Zee	3
53	Ina Boudier-Bakker	3
54	Edward Vermeulen	0
55	Maria Viola	0
56	Sybold van Ravesteyn	0
57	Nico Rost	1
58	Huib Luns	3
59	Arthur van Schendel	3
60	Wies Moens	0
61	A. Roland Holst	1
62	Geerten Gossaert	3
63	Charley Toorop	3
64	Piet Visser	0
65	J. Eigenhuis	0
66	Herman Teirlinck	0
67	Jan Campert	3
68	Henriette Roland Holst-van der Schalk	0
69	Marnix Gijsen	0
70	Richard Minne	0
71	J.C. Bloem	3
72	Jacob Israël de Haan	4
73	Daan Boens	0
74	Aart van der Leeuw	3
75	Jan Stuyt	2
76	Otto van Rees	0
77	Gerard van Eckeren	3
78	Maurice Roelants	0
79	Jan van Nijlen	4
80	Job Steynen	3
81	Kees Meekel	0
82	G.P.M. Knuvelder	4
83	Paul Claudel	0
84	B.H. Molkenboer	2
85	Antoon Derkinderen	2
86	C.A. Terburg	1
87	P.A. Kerstens	1
88	Jop Pollmann	0
89	Matthijs Vermeulen	1
90	Jacques Schreurs	3
91	Menno ter Braak	3
92	Wim Snitker	0
93	Gérard de Nerval	1
94	Sigmund Freud	1
95	Robert Guiette	0
96	Wouter Lutkie	0
97	Vincent Cleerdin	0
98	Jozef Cantré	0
99	Mary Robbers	0
100	Constant van Wessem	4
101	Willem Nieuwenhuis	0
102	J.A. Alberdingk Thijm	2
103	J.F.M. Sterck	2
104	Emile Erens	0
105	Israël Querido	3
106	Gerben Colmjon	3
107	Charles Nypels	3
108	Michel de Ghelderode	0
109	Willem Doevenspeck	0
110	Willem Putman	0
111	Anton Van de Velde	0
112	Herman de Man	0
113	J. Cuypers	0
114	Charles Eyck	0
115	J.J. ten Berge S.J.	2
116	J.H. Abendanon	2
117	A. den Doolaard	1
118	Herman van den Bergh	3
119	Anton van Duinkerken	0
120	A.A.M. Stols	3
121	M. Stol	3
122	Blaise Cendrars	0
123	Top Naeff	3
124	Frits Hopman	2
125	Felix Timmermans	0
126	A.M. de Jong	0
127	Guido Gezelle	0
128	Caesar Gezelle	0
129	J.C. van Schagen	3
130	Julien Benda	0
131	Miguel de Unamuno	0
132	William Blake	1
133	H.W.E. Moller	0
134	Dop Bles	0
135	Selma Lagerlöf	0
136	Willem ten Berge	1
137	Jan Greshoff	3
138	D.A.M. Binnendijk	4
139	J. Wille	4
140	J.C. Hol	3
141	Alphons Diepenbrock	3
142	J. Slauerhoff	3
143	Jozef Muls	0
144	Joris Iven	1
145	Joris Ivens	1
146	H.G. Cannegieter	0
147	Jacob van Lennep	2
148	Jean Cocteau	0
149	Mathias Kemp	3
150	Pierre Kemp	3
151	Lodewijk van Deyssel	3
152	Theo Bogaerts	0
