	community	transitivity	average_clustering	community_size
0	0	0.2829163606699395	0.5255775024502729	1147
1	1	0.17281305650129977	0.3341700318255051	1600
2	2	0.10150562029493658	0.2539410387726929	1662
3	3	0.1807807007313863	0.39814444304754487	1236
4	4	0.19480718688928608	0.53461873997839	1627
5	5	0.0	0.0	25
6	6	0.0	0.0	3
7	7	0.0	0.0	2
8	8	0.0	0.0	2
9	9	0.0	0.0	2
10	10	0.0	0.0	2
11	11	0.0	0.0	2
12	12	0.0	0.0	2
13	13	0.0	0.0	2
14	14	0.0	0.0	2
15	15	0.0	0.0	2
16	16	0.0	0.0	2
17	17	0.8689655172413793	0.648018648018648	13
18	18	0.0	0.0	2
19	19	0.0	0.0	2
20	20	0.0	0.0	2
21	21	0.0	0.0	2
22	22	0.9111111111111111	0.9285714285714286	8
23	23	0.0	0.0	2
24	24	0.0	0.0	2
25	25	0.0	0.0	2
26	26	0.0	0.0	2
27	27	0.8293736501079914	0.6013071895424836	17
28	28	0.0	0.0	2
29	29	0.0	0.0	3
30	30	0.0	0.0	2
31	31	0.0	0.0	2
32	32	0.7735849056603774	0.7355251393486687	30
33	33	0.0	0.0	2
34	34	0.75	0.8333333333333333	4
35	35	0.0	0.0	2
36	36	0.0	0.0	2
37	37	0.815668202764977	0.6642857142857143	12
38	38	0.0	0.0	4
39	39	0.0	0.0	2
40	40	0.0	0.0	2
41	41	0.0	0.0	2
42	42	0.0	0.0	2
43	43	0.0	0.0	2
44	44	0.0	0.0	2
