	Author	Degree	In-degree	Out-degree	Betweenness	Closeness	Harmonic	Eigenvector	Clustering	Square_Clustering	Community	Partition	Link	identifier	givenName	familyName	alternateNames	birthDate	birthPlace	birthCountry	deathDate	deathPlace	deathCountry	gender	occupation	period	language	category	organisation	occupationHisclass	Hisclass	lowestHisclass
0	Albert Helman	0.03946308724832214	0.026845637583892613	0.01261744966442953	0.00288134587479858	0.2995344011098564	2470.352380952357	0.048285617637319846	0.0910791467211972	0.03923930859397217	0	2	https://www.dbnl.org/auteurs/auteur.php?id=helm003	helm003	Albert	Helman	Albert Helman/Beckmesser/Brandaris/Floris Kapteyn/Friedrich Nietzsche/Hella Bentram-Matriotte/Hypertonides/J.B. Tenoten/Jo Jaspers/Joost van den Vondel/Lodewijk Alphonsus Maria Lichtveld/Lou Lichtveld/Louis Lightfield/N. Slob/Rolf Keuler	1903-11-07	Paramaribo	Suriname	1996-07-10	Amsterdam	Nederland	male	musicus/journalist/politicus/redacteur/staatsman/jongleur/minstreel/bestuurder	Twintigste Eeuw	nl	jeugdliteratuur/nonfictie/suriname/buitenland		bestuurder/redacteur/speelman/ambtman/journalist/acrobaat/musicus	1.0/2.0/4.0/1.0/2.0/7.0/4.0	1.0
1	Hendrik Andriessen	0.008859060402684563	0.0069798657718120796	0.001879194630872483	0.0004302108940455346	0.2580438779895651	2093.2357142856267	0.0114054827390052	0.2011225444340505	0.06265794559238888	1	2	https://www.dbnl.org/auteurs/auteur.php?id=andr036	andr036	Hendrik Franciscus	Andriessen	Hendrik Andriessen	1892-09-17	Haarlem	Nederland	1981-04-12	Haarlem	Nederland	male	jongleur/musicus/minstreel	Twintigste Eeuw	nl			speelman/acrobaat/musicus	4.0/7.0/4.0	4.0
2	Henk Kuitenbrouwer	0.03060402684563758	0.005906040268456376	0.024697986577181207	0.0011185752864984783	0.2594259871096237	2098.5833333332575	0.015754972280319576	0.11288075240933546	0.0391539376312025	0	2	https://www.dbnl.org/auteurs/auteur.php?id=kuit001	kuit001	Carel Hendrik Gerhardus Maria	Kuitenbrouwer	Henk Kuitenbrouwer	1903-11-20	Utrecht	Nederland	1974-08-03	Utrecht	Nederland	male	onderwijzer (basisschool)/redacteur/journalist	Twintigste Eeuw		jeugdliteratuur		onderwijzer op een lagere school/redacteur/journalist	4.0/2.0/2.0	2.0
3	Henri Bruning	0.013020134228187917	0.013020134228187917	0.0	0.0	0.2886067848723344	2351.0261904761423	0.030482975198129952	0.15539089347079038	0.0	0	2	https://www.dbnl.org/auteurs/auteur.php?id=brun009	brun009	Henricus Josephus	Bruning	Henri Bruning	1900-07-10	Amsterdam	Nederland	1983-01-17	Nijmegen	Nederland	male		Twintigste Eeuw	nl					
4	Jan Bruna	0.008187919463087247	0.001879194630872483	0.006308724832214765	0.00012991587744485902	0.2453481036624793	1954.1619047618203	0.007261074942060905	0.28123280132085854	0.06198649361253338	0	2	https://www.dbnl.org/auteurs/auteur.php?id=brun020	brun020	Jan	Bruna	Jan Bruna	1876-08-17			1931-03-11			male	redacteur/journalist	Twintigste Eeuw	nl	secundair		redacteur/journalist	2.0/2.0	2.0
5	Joep Nicolas	0.009530201342281878	0.008053691275167784	0.001476510067114094	0.0006619663380728117	0.2590825039151665	2112.0190476189687	0.02519260152737632	0.2397094430992736	0.05403340246697959	0	4	https://www.dbnl.org/auteurs/auteur.php?id=nico008	nico008	Josephus Antonius Hubertus Franciscus	Nicolas	Joep Nicolas	1897-10-06	Roermond	Nederland	1972-07-25	Steyl	Nederland	male	schilder/ambachtsman	Twintigste Eeuw		nonfictie		ambachtsman/schilder	7.0/9.0	7.0
6	Albert Kuyle	0.0385234899328859	0.01959731543624161	0.018926174496644292	0.0014536230601458614	0.2853640459036443	2348.609523809473	0.04124722254967549	0.1077917327155225	0.03765111040988869	0	2	https://www.dbnl.org/auteurs/auteur.php?id=kuyl001	kuyl001	Louis Maria Albertus	Kuyle	Albert Kuyle/L.M.A Kuitenbrouwer	1904-02-17	Utrecht	Nederland	1958-03-04	Utrecht	Nederland	male	uitgever/boekdrukker/redacteur/journalist	Twintigste Eeuw	nl	jeugdliteratuur		uitgever/boekdrukker/redacteur/journalist	1.0/7.0/2.0/2.0	1.0
7	Albe	0.30093959731543624	0.2977181208053691	0.0032214765100671136	0.06520656736783269	0.4507090325157706	3979.700000000034	0.28775093027028764	0.014170366029972804	0.03590607225699851	2	3	https://www.dbnl.org/auteurs/auteur.php?id=albe001	albe001		Albe	Albe/Kapitein Zeldenthuis/Piet Punt/Renaat Antoon Louisa Joostens	1902-06-08	Mechelen	België (Vlaanderen)	1973-10-10	Brussel	België (Brussel)	male	vertaler					vertaler	4.0	4.0
8	Jan Engelman	0.06429530201342282	0.031140939597315433	0.03315436241610738	0.0092148714508237	0.3100713595060008	2560.8285714285557	0.06615468436280157	0.09128933566433567	0.03272920130141667	0	2	https://www.dbnl.org/auteurs/auteur.php?id=enge016	enge016	Johannes Aloysius Antonius	Engelman	Jan Engelman	1900-06-07	Utrecht	Nederland	1972-03-20	Amsterdam	Nederland	male	redacteur/journalist/vertaler	Twintigste Eeuw	nl	secundair/nonfictie		redacteur/vertaler/journalist	2.0/4.0/2.0	2.0
9	Carel Scharten	0.03825503355704698	0.014228187919463085	0.02402684563758389	0.0033890602108010014	0.2963229655900524	2404.3190476190207	0.039138218984443765	0.1051622637775799	0.030693667944655396	2	2	https://www.dbnl.org/auteurs/auteur.php?id=scha043	scha043	Carel Theodoor	Scharten	Carel Scharten/Peter Aerds	1878-03-14	Middelburg	Nederland	1950-10-30	Florence	Italië	male		19e/20e Eeuw	nl	secundair				
10	Willem Maas	0.004697986577181208	0.001879194630872483	0.0028187919463087247	5.108382228856952e-06	0.23818081887755851	1896.569047618977	0.0049500056195483375	0.42105263157894735	0.0866657994015871	0	2	https://www.dbnl.org/auteurs/auteur.php?id=maas024	maas024	Willem Arnoldus	Maas	Willem Maas	1897-04-28	Utrecht	Nederland	1950-05-06	Utrecht	Nederland	male	illustrator/tekenaar/beeldend kunstenaar	Twintigste Eeuw				tekenaar/illustrateur/beeldhouwer	4.0/4.0/4.0	4.0
